Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
1999,168,146,129,1637,121,1578,150,1536,68,1609,,,,
1998,94,277,81,1748,78,1678,105,1624,40,1684,,,,
1997,62,425,75,1771,69,1701,97,1647,33,1718,,,,
1996,145,152,153,1651,136,1590,153,1581,58,1642,,,,
1995,149,10,166,1669,189,1564,171,1605,56,1658,,,,
1994,112,13,123,1706,136,1621,150,1614,43,1695,,,,
1993,69,21,81,1765,80,1697,99,1675,46,1680,,,,
1992,125,9,171,1649,116,1636,159,1602,99,1578,,,,
1991,213,4,148,1666,95,1670,141,1603,62,1629,,,,
1990,61,18,51,1809,55,1712,39,1758,27,1733,,,,
1989,58,20,51,1797,61,1683,58,1717,24,1743,,,,
1988,79,10,62,1742,102,1599,51,1693,47,1658,,,,
1987,121,6,120,1650,162,1485,115,1564,71,1610,,,,
1986,167,2,144,1586,230,1362,118,1556,137,1478,,,,
1985,166,,151,1570,236,1364,109,1562,,,,,,
