Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2019,5,2,3,40.0%,4-8,33.3%,51-61,45.5%,0-0,-,0,,,,,,,,,,,,QF (W25 Calvi)
2018,25,11,14,44.0%,27-31,46.6%,271-269,50.2%,4-4,50.0%,0,,,,,,,,,,,,SF (Tel Aviv $15K)
2017,53,25,28,47.2%,58-60,49.2%,558-527,51.4%,3-8,27.3%,0,,,,,,,,,,,,F (Sharm El Sheikh $15K)
2016,50,33,17,66.0%,71-39,64.5%,558-428,56.6%,5-5,50.0%,0,,,,,,,,,,,,W (3x)
2015,14,9,5,64.3%,20-10,66.7%,158-112,58.5%,2-2,50.0%,0,,,,,,,,,,,,SF (Les Contamines Montjoie $10K)
2012,35,17,18,48.6%,34-40,45.9%,332-351,48.6%,4-2,66.7%,0,,,,,,,,,,,,F (Edinburgh 10K)
2011,48,23,25,47.9%,54-55,49.5%,497-496,50.1%,6-7,46.2%,0,,,,,,,,,,,,F (2x)
2010,43,20,23,46.5%,48-49,49.5%,437-435,50.1%,4-2,66.7%,0,,,,,,,,,,,,W (Lleida 10K)
2009,42,23,19,54.8%,52-42,55.3%,433-426,50.4%,7-3,70.0%,0,,,,,,,,,,,,F (Espinho 10K)
2008,18,8,10,44.4%,19-22,46.3%,186-183,50.4%,3-1,75.0%,0,,,,,,,,,,,,SF (Ciampino 10K)
2007,1,0,1,0.0%,1-2,33.3%,13-17,43.3%,0-0,-,0,,,,,,,,,,,,R32 (Limoges 10K)
Career,334,171,163,51.2%,388-358,52.0%,3494-3305,51.4%,38-34,52.8%,0,,,,,,,,,,,,
