Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2022-10-03),,,,,,,,,,,129,639,,
2020,990,14,,,,,,,,,130,690,,
2019,946,14,,,,,,,,,122,624,,
2018,562,32,,,,,,,,,252,279,,
2018,562,32,,,,,,,,,252,279,,
2017,443,81,,,,,,,,,505,86,,
2016,365,104,,,,,,,,,621,55,,
2015,703,26,,,,,,,,,,,,
2012,620,39,,,,,,,,,565,66,,
2011,433,88,,,,,,,,,398,143,,
2010,475,70,,,,,,,,,505,78,,
2009,556,47,,,,,,,,,,,,
2008,832,11,,,,,,,,,,,,
