Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2026 Miami R32,L vs Gibson,0.0%,-,3.2%,33.3%,6.5%,50.0%,0.0%,9.1%,25.0%,0.0%,-,-52,-29
2026 Miami R64,W vs Badosa,0.0%,-,6.4%,42.9%,20.3%,41.7%,0.0%,13.5%,40.0%,0.0%,-,28,7
2026 Indian Wells R64,L vs Osorio,0.0%,-,9.2%,65.0%,11.5%,15.1%,0.0%,10.2%,28.6%,0.5%,0.0%,14,20
2026 Austin R16,L vs Tomljanovic,0.0%,-,9.3%,82.4%,12.9%,26.9%,0.0%,8.6%,14.3%,0.3%,100.0%,37,20
2026 Austin R32,W vs Blinkova,0.0%,-,7.8%,55.6%,21.5%,44.4%,0.0%,15.9%,46.7%,0.0%,-,60,105
2026 Dubai R16,L vs Pegula,0.0%,-,4.7%,80.0%,13.6%,26.7%,0.0%,10.6%,0.0%,0.7%,0.0%,129,112
2026 Dubai R32,W vs Shnaider,0.0%,-,6.7%,70.0%,16.2%,29.4%,0.0%,18.8%,38.5%,0.9%,50.0%,104,79
2026 Dubai R64,W vs Rakhimova,0.0%,-,2.8%,100.0%,19.7%,35.3%,100.0%,13.2%,62.5%,0.5%,0.0%,20,19
2026 Australian Open QF,L vs Sabalenka,0.0%,-,7.1%,37.5%,10.4%,28.6%,0.0%,10.3%,75.0%,0.0%,-,-31,-40
2026 Australian Open R16,W vs Putintseva,0.0%,-,9.5%,71.4%,14.5%,15.4%,0.0%,7.2%,33.3%,0.0%,-,-8,12
2026 Australian Open R32,W vs Paolini,0.0%,-,7.7%,70.0%,11.9%,26.5%,0.0%,9.8%,42.9%,0.0%,-,-69,-63
2026 Australian Open R64,W vs Hon,0.0%,-,7.5%,85.7%,16.7%,33.3%,100.0%,15.5%,30.0%,0.5%,0.0%,-9,-4
2026 Australian Open R128,W vs Volynets,0.0%,-,13.0%,57.1%,17.9%,23.3%,50.0%,6.8%,33.3%,0.8%,100.0%,30,33
2026 Hobart F,L vs Cocciaretto,0.0%,-,6.7%,37.5%,16.7%,14.8%,0.0%,3.0%,0.0%,0.0%,-,-26,-42
2026 Hobart SF,W vs Preston,0.0%,-,2.8%,60.0%,13.2%,30.8%,0.0%,12.8%,31.6%,0.5%,0.0%,-36,-39
2026 Hobart QF,W vs Linette,0.0%,-,3.7%,62.5%,17.2%,30.0%,0.0%,12.6%,38.7%,0.5%,0.0%,-12,-8
2026 Hobart R16,W vs Zarazua,0.0%,-,15.4%,71.4%,18.0%,40.0%,0.0%,11.4%,23.8%,0.0%,-,31,25
2026 Hobart R32,W vs Tjen,0.0%,-,8.0%,66.7%,33.3%,43.5%,0.0%,4.7%,25.0%,0.0%,-,7,20
2026 Auckland SF,L vs Svitolina,0.0%,-,5.2%,85.7%,18.4%,25.0%,0.0%,9.2%,28.6%,0.8%,50.0%,30,27
2026 Auckland QF,W vs Costoulas,0.0%,-,8.2%,66.7%,23.5%,33.3%,50.0%,9.8%,28.6%,0.0%,-,45,23
Last 52 Weeks (35 matches),,0.0%,-,6.1%,63.6%,15.3%,26.7%,17.7%,10.6%,25.1%,0.6%,34.1%,23,17
Career (40 matches),,0.0%,-,6.0%,63.2%,14.9%,26.1%,18.3%,10.5%,25.7%,0.6%,33.3%,19,12
