Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,43,28,15,65.1%,63-39,61.8%,518-415,55.5%,6-5,54.5%,42,70.6%,40.0%,3.0%,3.2%,61.6%,63.3%,51.1%,58.6%,45.7%,52.2%,1.11
Clay,8,5,3,62.5%,11-7,61.1%,93-82,53.1%,0-0,-,8,65.2%,40.7%,2.4%,3.5%,63.6%,62.4%,48.6%,57.3%,46.0%,51.7%,1.08
Grass,1,0,1,0.0%,0-2,0.0%,2-12,14.3%,0-0,-,1,28.6%,0.0%,4.3%,2.1%,55.3%,57.7%,23.8%,42.6%,29.8%,36.2%,0.52
Grand Slams,14,8,6,57.1%,17-13,56.7%,138-127,52.1%,2-0,100.0%,14,62.9%,40.5%,2.7%,2.7%,59.0%,61.4%,49.2%,56.4%,46.2%,51.2%,1.06
Premiers,5,5,0,100.0%,10-3,76.9%,74-52,58.7%,1-1,50.0%,5,68.8%,48.3%,2.9%,2.7%,70.6%,59.2%,51.9%,57.1%,49.6%,53.6%,1.16
Internationals,15,10,5,66.7%,22-13,62.9%,185-139,57.1%,2-2,50.0%,15,72.8%,41.1%,1.9%,3.5%,62.2%,64.3%,50.1%,59.0%,45.7%,52.5%,1.11
Finals,2,1,1,50.0%,2-2,50.0%,20-17,54.1%,0-0,-,2,63.2%,44.4%,0.7%,1.5%,64.2%,56.8%,51.0%,54.7%,44.9%,50.4%,0.99
Semi-finals,4,2,2,50.0%,5-6,45.5%,56-54,50.9%,0-2,0.0%,4,67.3%,35.8%,1.9%,2.9%,67.0%,61.5%,47.6%,56.9%,44.6%,50.7%,1.03
Quarter-finals,5,4,1,80.0%,8-4,66.7%,62-54,53.4%,2-1,66.7%,5,64.9%,41.1%,1.6%,2.8%,65.4%,58.6%,49.3%,55.4%,46.1%,51.1%,1.03
vs Righties,48,29,19,60.4%,66-46,58.9%,558-466,54.5%,3-5,37.5%,47,69.7%,39.0%,3.0%,3.3%,61.4%,63.6%,50.2%,58.4%,45.1%,51.8%,1.09
vs Lefties,3,3,0,100.0%,6-2,75.0%,42-35,54.5%,2-0,100.0%,3,62.2%,44.7%,2.1%,2.6%,66.5%,56.1%,53.8%,55.4%,49.8%,52.4%,1.12
vs Top 10,7,1,6,14.3%,4-12,25.0%,60-87,40.8%,1-1,50.0%,7,56.9%,24.7%,2.8%,2.6%,57.5%,57.5%,48.3%,53.6%,39.8%,46.7%,0.86
