Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2026 Miami R32,L vs Gibson,57.1%,33.3%,14.3%,2/4,2.57,5.9%,57.7%,40.0%,15.4%,2.67,8.3%,60.0%,22.2%,13.3%,2.31,0.0%
2026 Miami R64,W vs Badosa,56.9%,69.7%,6.9%,2/2,2.65,12.8%,51.7%,53.3%,6.9%,2.55,16.0%,94.7%,83.3%,10.5%,2.83,7.1%
2026 Indian Wells R64,L vs Osorio,65.5%,48.7%,5.2%,3/3,2.59,13.3%,68.9%,52.9%,0.0%,2.62,22.2%,78.1%,40.0%,18.8%,2.56,0.0%
2026 Austin R16,L vs Tomljanovic,69.4%,40.7%,12.9%,5/6,2.57,2.8%,68.9%,42.9%,6.6%,2.57,5.1%,77.3%,35.3%,31.8%,2.56,0.0%
2026 Austin R32,W vs Blinkova,72.7%,45.0%,9.1%,0/5,2.47,2.7%,82.4%,53.6%,2.9%,2.19,6.3%,66.7%,25.0%,22.2%,2.68,0.0%
2026 Dubai R16,L vs Pegula,60.4%,34.5%,4.2%,0/2,2.73,19.0%,61.1%,31.8%,5.6%,2.70,33.3%,63.6%,42.9%,0.0%,2.78,0.0%
2026 Dubai R32,W vs Shnaider,77.2%,62.0%,2.2%,1/1,2.43,11.9%,76.2%,56.3%,0.0%,2.42,12.5%,85.2%,73.9%,7.4%,2.44,11.1%
2026 Dubai R64,W vs Rakhimova,63.6%,61.2%,2.6%,0/2,2.55,9.1%,62.8%,59.3%,2.3%,2.47,12.5%,84.6%,63.6%,3.8%,2.65,5.0%
2026 Australian Open QF,L vs Sabalenka,60.7%,44.1%,8.9%,2/3,2.58,15.9%,55.6%,30.0%,5.6%,2.48,20.0%,82.4%,64.3%,17.6%,2.70,10.5%
2026 Australian Open R16,W vs Putintseva,91.7%,66.7%,8.3%,2/1,2.51,3.7%,100.0%,72.7%,13.6%,2.72,5.9%,100.0%,54.5%,0.0%,2.14,0.0%
2026 Australian Open R32,W vs Paolini,85.9%,62.3%,5.6%,4/0,2.70,2.1%,84.8%,59.0%,2.2%,2.84,3.7%,88.0%,68.2%,12.0%,2.51,0.0%
2026 Australian Open R64,W vs Hon,73.1%,71.1%,1.9%,0/1,2.64,12.1%,67.9%,78.9%,0.0%,2.77,16.7%,90.5%,63.2%,4.8%,2.31,0.0%
2026 Australian Open R128,W vs Volynets,80.6%,64.0%,0.0%,0/0,2.32,9.1%,83.0%,66.7%,0.0%,2.32,23.1%,73.3%,54.5%,0.0%,2.31,0.0%
2026 Hobart F,L vs Cocciaretto,73.6%,38.5%,3.8%,0/2,2.73,3.8%,73.3%,45.5%,6.7%,2.66,6.3%,81.0%,29.4%,0.0%,2.83,0.0%
2026 Hobart SF,W vs Preston,81.8%,60.5%,4.0%,1/3,2.58,7.8%,81.5%,50.9%,1.5%,2.61,11.6%,87.5%,78.6%,9.4%,2.50,0.0%
2026 Hobart QF,W vs Linette,78.7%,58.1%,6.4%,3/3,2.55,7.1%,77.6%,53.3%,6.9%,2.54,12.5%,82.9%,65.5%,5.7%,2.55,0.0%
2026 Hobart R16,W vs Zarazua,86.4%,57.9%,4.5%,0/2,2.63,11.8%,86.2%,56.0%,3.4%,2.57,18.2%,92.9%,61.5%,7.1%,2.77,0.0%
2026 Hobart R32,W vs Tjen,77.1%,77.8%,8.6%,2/1,2.37,27.6%,66.7%,66.7%,5.6%,2.38,35.0%,93.8%,86.7%,12.5%,2.34,11.1%
2026 Auckland SF,L vs Svitolina,68.1%,55.3%,5.8%,2/2,2.85,3.8%,71.4%,50.0%,4.8%,2.78,5.9%,70.8%,64.7%,8.3%,2.98,0.0%
2026 Auckland QF,W vs Costoulas,70.8%,63.0%,6.2%,0/4,2.51,6.2%,68.8%,59.1%,6.3%,2.47,8.7%,85.7%,66.7%,7.1%,2.61,0.0%
Last 52 Weeks (35 matches),,70.7%,56.5%,6.7%,49.1%,2.57,7.2%,71.8%,54.8%,5.1%,2.59,10.6%,81.7%,59.1%,10.8%,2.55,1.5%
Career (40 matches),,70.5%,56.2%,7.0%,47.2%,2.56,6.6%,71.1%,53.7%,4.9%,2.57,10.1%,82.3%,59.9%,11.9%,2.54,1.2%
