Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,9,Hard,25,15,10,60.0%,13,7,6,53.8%,2018,2026,R16,25,1.05,7.8%,2.9%,64.5%,70.6%,50.6%,63.5%,38.5%,57.4%,45.6%
Roland Garros,8,Clay,16,8,8,50.0%,5,3,2,60.0%,2017,2025,R32,14,0.96,4.8%,2.6%,65.6%,64.6%,47.9%,58.9%,39.5%,57.4%,42.9%
Wimbledon,7,Grass,15,8,7,53.3%,12,8,4,66.7%,2017,2025,R16,13,0.99,6.8%,3.1%,67.8%,72.6%,53.1%,66.3%,33.4%,68.2%,31.4%
US Open,11,Hard,14,3,11,21.4%,6,2,4,33.3%,2013,2025,R64,12,0.89,6.7%,4.0%,61.6%,65.9%,49.4%,59.6%,36.2%,61.2%,36.5%
Davis Cup,3,,5,4,1,80.0%,2,0,2,0.0%,2023,2025,,3,1.27,4.4%,1.3%,70.4%,67.3%,58.2%,64.6%,45.0%,75.0%,52.0%
Miami Masters,7,Hard,20,12,8,60.0%,11,6,5,54.5%,2018,2026,R32,20,1.04,5.3%,2.8%,65.9%,70.6%,53.6%,64.8%,36.6%,65.5%,46.0%
Indian Wells Masters,9,Hard,19,10,9,52.6%,2,1,1,50.0%,2015,2026,R64,19,1.02,5.4%,3.3%,60.9%,66.8%,51.7%,60.9%,39.8%,61.4%,44.9%
Acapulco,5,Hard,11,5,6,45.5%,4,1,3,25.0%,2018,2026,QF,11,1.05,6.2%,3.2%,63.3%,70.8%,52.9%,64.2%,37.6%,59.0%,39.7%
Delray Beach,6,Hard,14,8,6,57.1%,4,3,1,75.0%,2019,2026,SF,14,0.99,5.9%,3.9%,62.2%,69.1%,52.6%,62.9%,36.9%,54.2%,41.5%
Shanghai Masters,3,Hard,9,5,4,55.6%,2,0,2,0.0%,2018,2025,R32,9,1.04,6.2%,2.0%,68.1%,71.9%,52.8%,65.8%,35.6%,71.7%,58.3%
Winston-Salem,2,Hard,3,1,2,33.3%,5,2,3,40.0%,2016,2025,R32,3,0.99,13.2%,5.7%,64.4%,76.2%,50.0%,66.9%,32.7%,57.9%,31.8%
