Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,17,5,12,29.4%,14-28,33.3%,193-224,46.3%,3-6,33.3%,17,78.2%,15.0%,8.9%,3.5%,63.3%,70.3%,50.4%,63.0%,31.9%,47.7%,0.86
Clay,4,1,3,25.0%,2-6,25.0%,33-44,42.9%,0-1,0.0%,3,78.4%,10.3%,6.7%,2.7%,65.2%,67.8%,55.1%,63.4%,26.7%,45.6%,0.73
Grass,5,2,3,40.0%,6-8,42.9%,67-70,48.9%,0-2,0.0%,5,80.9%,17.9%,4.5%,2.4%,69.1%,69.3%,50.4%,63.4%,34.0%,49.0%,0.93
Grand Slams,4,0,4,0.0%,1-12,7.7%,47-77,37.9%,0-1,0.0%,4,67.2%,8.1%,7.1%,4.8%,60.7%,64.4%,45.8%,57.1%,29.2%,43.5%,0.68
Masters,6,2,4,33.3%,4-8,33.3%,52-59,46.8%,0-1,0.0%,6,74.1%,21.4%,7.0%,1.2%,64.2%,65.6%,56.8%,62.4%,35.8%,48.7%,0.95
Other Tours,16,6,10,37.5%,17-22,43.6%,194-202,49.0%,3-7,30.0%,15,83.9%,15.5%,8.1%,3.1%,66.3%,72.4%,51.2%,65.3%,31.4%,48.8%,0.90
Best of 5,4,0,4,0.0%,1-12,7.7%,47-77,37.9%,0-1,0.0%,4,67.2%,8.1%,7.1%,4.8%,60.7%,64.4%,45.8%,57.1%,29.2%,43.5%,0.68
Best of 3,22,8,14,36.4%,21-30,41.2%,246-261,48.5%,3-8,27.3%,21,81.7%,16.8%,7.9%,2.7%,65.8%,71.0%,52.5%,64.7%,32.4%,48.8%,0.92
vs Righties,21,6,15,28.6%,18-35,34.0%,243-285,46.0%,3-8,27.3%,20,79.3%,13.8%,8.3%,3.0%,64.7%,69.8%,51.7%,63.5%,31.3%,47.6%,0.86
vs Lefties,4,1,3,25.0%,2-7,22.2%,38-48,44.2%,0-1,0.0%,4,73.8%,16.3%,4.3%,4.0%,66.7%,67.9%,44.6%,60.1%,32.1%,46.8%,0.81
vs Top 10,4,0,4,0.0%,1-10,9.1%,31-62,33.3%,0-0,-,4,60.0%,6.3%,6.4%,4.1%,63.2%,63.1%,40.4%,54.7%,23.6%,40.6%,0.52
