Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,5,1,4,20.0%,2-7,22.2%,33-44,42.9%,0-0,-,4,68.4%,15.4%,4.7%,2.5%,60.9%,61.3%,50.9%,57.2%,30.7%,45.6%,0.72,R32 (2x)
2025,27,10,17,37.0%,29-43,40.3%,339-376,47.4%,4-10,28.6%,26,77.4%,17.2%,7.2%,3.0%,65.7%,68.8%,50.6%,62.5%,33.5%,48.2%,0.89,R16 (5x)
2024,18,5,13,27.8%,19-32,37.3%,225-259,46.5%,1-5,16.7%,18,70.3%,24.4%,4.8%,3.8%,65.2%,65.7%,48.5%,59.7%,38.2%,48.7%,0.95,QF (Newport)
2023,61,33,28,54.1%,77-68,53.1%,733-692,51.4%,10-14,41.7%,60,78.1%,24.6%,6.5%,3.1%,63.7%,69.7%,50.6%,62.8%,38.8%,50.5%,1.04,SF (2x)
2022,54,26,28,48.1%,72-68,51.4%,693-674,50.7%,12-13,48.0%,54,77.3%,24.1%,6.5%,2.5%,65.1%,68.8%,50.5%,62.4%,37.8%,50.3%,1.00,SF (Naples)
2021,37,18,19,48.6%,51-48,51.5%,498-496,50.1%,8-6,57.1%,36,79.6%,20.7%,7.6%,2.7%,64.8%,70.0%,52.5%,63.8%,37.0%,50.2%,1.02,F (Washington)
2020,12,4,8,33.3%,15-21,41.7%,159-181,46.8%,2-2,50.0%,12,71.7%,21.8%,5.7%,2.5%,64.7%,65.5%,49.5%,59.8%,37.8%,48.7%,0.94,QF (Nur-Sultan)
2019,22,10,12,45.5%,27-32,45.8%,263-300,46.7%,4-4,50.0%,22,75.2%,18.9%,5.3%,3.1%,62.0%,67.7%,51.0%,61.3%,35.1%,48.5%,0.91,SF (Delray Beach)
2018,22,9,13,40.9%,31-35,47.0%,318-335,48.7%,6-3,66.7%,22,81.6%,16.8%,5.3%,4.2%,64.5%,70.7%,51.2%,63.8%,34.3%,49.2%,0.95,QF (s Hertogenbosch)
2016,3,0,3,0.0%,2-7,22.2%,28-49,36.4%,0-0,-,3,55.3%,17.9%,2.1%,2.6%,55.3%,61.5%,42.9%,53.2%,38.0%,45.0%,0.81,R32 (Newport)
2013,1,0,1,0.0%,0-2,0.0%,2-12,14.3%,0-0,-,1,28.6%,0.0%,1.8%,9.1%,65.5%,58.3%,15.8%,43.6%,18.9%,33.7%,0.34,R64 (Cincinnati Masters)
Career,262,116,146,44.3%,325-363,47.2%,3291-3418,49.1%,47-57,45.2%,258,76.8%,21.5%,6.3%,3.0%,64.3%,68.7%,50.6%,62.2%,36.8%,49.5%,0.97,
