Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2025 Washington R32,L vs Shelton,46.8%,31.8%,2.1%,1/0,2.36,11.6%,35.5%,36.4%,0.0%,2.24,20.0%,68.8%,27.3%,6.3%,2.53,0.0%
2025 Roland Garros R128,L vs Djokovic,57.7%,36.6%,4.2%,2/1,2.35,8.9%,53.2%,36.0%,4.3%,2.35,14.7%,69.6%,37.5%,4.3%,2.34,0.0%
2024 US Open R128,L vs Sinner,61.7%,50.0%,4.3%,3/1,2.21,2.6%,50.0%,50.0%,1.9%,2.01,4.3%,86.5%,50.0%,8.1%,2.52,0.0%
2024 Cincinnati Q2,L vs Michelsen,72.7%,40.0%,1.8%,0/1,2.15,10.8%,68.3%,28.6%,2.4%,2.11,18.2%,85.7%,66.7%,0.0%,2.20,0.0%
2024 Newport R32,W vs Hijikata,84.2%,52.5%,4.2%,3/1,2.30,0.0%,85.2%,47.8%,0.0%,2.31,0.0%,91.9%,58.8%,10.8%,2.28,0.0%
2024 Wimbledon R128,L vs Ruusuvuori,67.6%,47.2%,4.9%,6/3,2.42,2.7%,66.7%,43.9%,3.3%,2.29,2.9%,77.4%,53.7%,9.4%,2.62,2.3%
2024 Australian Open R128,L vs Shang,74.8%,48.6%,2.8%,4/0,2.22,3.9%,70.2%,44.1%,1.2%,2.14,4.0%,87.3%,54.2%,5.5%,2.37,3.8%
2023 Paris R32,L vs Sinner,75.9%,27.0%,7.2%,2/4,2.42,0.0%,70.8%,20.6%,6.3%,2.41,0.0%,87.9%,34.5%,9.1%,2.45,0.0%
2023 Wimbledon R128,L vs Bublik,51.6%,37.5%,5.6%,2/5,2.28,31.1%,43.0%,26.5%,2.5%,2.52,30.9%,88.2%,50.0%,14.7%,1.91,31.4%
2023 Miami R64,W vs Berrettini,56.3%,40.8%,1.1%,1/0,2.17,37.7%,48.1%,23.1%,0.0%,2.27,60.6%,82.1%,60.9%,3.6%,2.00,0.0%
2023 Indian Wells R64,L vs Rune,62.5%,35.0%,0.0%,0/0,2.53,21.2%,59.5%,36.0%,0.0%,2.74,38.9%,78.9%,33.3%,0.0%,2.27,0.0%
2023 Acapulco QF,L vs Paul,65.1%,28.6%,2.3%,1/0,2.02,18.2%,57.6%,36.8%,0.0%,1.68,30.0%,100.0%,11.1%,11.1%,2.50,0.0%
2023 Australian Open R64,W vs Nadal,74.5%,55.3%,2.9%,3/0,2.25,9.5%,72.3%,53.2%,0.0%,2.26,7.5%,82.9%,58.6%,8.6%,2.24,13.0%
2023 Australian Open R128,W vs Nakashima,61.6%,42.2%,2.3%,1/3,2.44,9.6%,59.2%,31.0%,0.0%,2.42,15.9%,79.2%,63.2%,8.3%,2.46,0.0%
2022 San Diego R16,L vs Brooksby,72.7%,41.1%,1.3%,0/1,2.10,1.6%,72.5%,29.7%,2.0%,2.04,2.5%,79.2%,63.2%,0.0%,2.22,0.0%
2022 Cincinnati R32,L vs Alcaraz,64.1%,24.0%,7.7%,0/3,2.32,8.3%,65.0%,23.1%,10.0%,2.26,8.0%,66.7%,25.0%,5.6%,2.45,9.1%
2022 Washington R64,L vs Ruusuvuori,62.7%,55.8%,1.2%,1/0,2.69,1.5%,60.9%,57.1%,2.2%,2.62,2.9%,82.8%,54.2%,0.0%,2.75,0.0%
2021 Moscow R16,L vs Simon,65.9%,37.9%,2.3%,0/1,2.43,13.2%,66.7%,21.4%,4.8%,2.21,20.6%,75.0%,53.3%,0.0%,2.82,0.0%
2021 Washington F,L vs Sinner,74.8%,50.0%,1.9%,0/2,1.93,1.1%,70.4%,39.5%,1.9%,1.94,1.9%,80.8%,59.5%,1.9%,1.91,0.0%
2021 Australian Open R16,L vs Medvedev,54.9%,46.2%,4.2%,1/2,2.46,5.7%,45.7%,47.6%,2.2%,2.32,9.1%,78.3%,44.4%,8.7%,2.70,0.0%
Career (29 matches),,65.5%,44.7%,3.4%,58.6%,2.32,10.9%,62.0%,38.5%,2.2%,2.26,15.1%,80.3%,53.2%,6.1%,2.40,4.5%
