Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2018,28,9,19,32.1%,30-47,39.0%,389-431,47.4%,9-10,47.4%,28,83.6%,10.9%,16.7%,5.3%,61.3%,78.7%,47.0%,66.4%,31.2%,48.8%,0.93,QF (2x)
2017,50,32,18,64.0%,77-52,59.7%,708-648,52.2%,19-10,65.5%,48,89.5%,14.0%,18.0%,4.7%,62.4%,80.0%,51.3%,69.2%,32.5%,50.8%,1.06,W (2x)
2016,59,35,24,59.3%,77-63,55.0%,763-720,51.4%,25-21,54.3%,59,87.9%,14.1%,19.1%,4.6%,60.5%,81.4%,52.6%,70.0%,32.1%,50.9%,1.07,F (2x)
2015,57,33,24,57.9%,82-65,55.8%,793-734,51.9%,28-18,60.9%,55,87.2%,14.5%,16.5%,4.3%,60.8%,79.9%,50.6%,68.4%,31.5%,50.4%,1.00,SF (4x)
2014,12,6,6,50.0%,18-15,54.5%,167-169,49.7%,6-3,66.7%,10,83.0%,9.6%,20.1%,4.8%,62.3%,78.5%,48.3%,67.1%,28.9%,48.0%,0.88,R16 (3x)
2013,12,4,8,33.3%,12-20,37.5%,155-171,47.5%,3-4,42.9%,10,77.3%,9.2%,14.5%,4.5%,59.3%,75.3%,46.2%,63.5%,29.2%,46.9%,0.80,QF (Marseille)
2012,43,22,21,51.2%,54-59,47.8%,585-594,49.6%,17-17,50.0%,42,85.8%,12.2%,16.2%,3.6%,61.2%,80.5%,49.0%,68.3%,30.8%,49.6%,0.97,F (Atlanta)
2011,29,17,12,58.6%,45-33,57.7%,409-401,50.5%,17-11,60.7%,25,86.6%,11.4%,18.0%,3.6%,59.6%,80.0%,51.1%,68.3%,29.6%,49.6%,0.94,SF (2x)
2010,4,2,2,50.0%,5-5,50.0%,55-56,49.5%,2-2,50.0%,4,92.6%,5.7%,21.8%,4.1%,63.9%,82.2%,59.6%,74.1%,28.8%,50.5%,1.11,R16 (Atlanta)
2009,14,5,9,35.7%,16-24,40.0%,201-226,47.1%,5-2,71.4%,14,82.9%,10.5%,12.5%,3.6%,67.4%,74.5%,50.2%,66.6%,29.3%,48.3%,0.88,R16 (2x)
2008,12,7,5,58.3%,22-17,56.4%,208-195,51.6%,6-4,60.0%,10,85.8%,11.8%,18.4%,3.8%,61.1%,78.7%,47.8%,66.7%,29.9%,49.2%,0.90,QF (US Open)
2007,9,3,6,33.3%,11-19,36.7%,135-148,47.7%,1-4,20.0%,5,81.3%,15.1%,16.7%,3.2%,66.9%,73.2%,52.3%,66.2%,33.1%,50.1%,0.98,
2006,33,13,20,39.4%,33-47,41.3%,373-405,47.9%,8-9,47.1%,31,78.7%,14.8%,11.8%,5.0%,61.1%,72.5%,47.7%,62.8%,32.9%,48.7%,0.89,QF (4x)
2005,44,21,23,47.7%,50-60,45.5%,529-583,47.6%,16-9,64.0%,41,80.7%,12.4%,12.1%,4.8%,60.6%,73.4%,50.0%,64.2%,31.0%,48.4%,0.86,F (Los Angeles)
2004,22,13,9,59.1%,29-31,48.3%,307-302,50.4%,2-7,22.2%,18,78.5%,22.3%,10.7%,3.9%,60.9%,70.8%,51.2%,63.1%,36.5%,49.8%,0.99,F (Washington)
2003,4,2,2,50.0%,6-6,50.0%,60-63,48.8%,2-0,100.0%,1,63.6%,18.2%,4.9%,4.9%,49.2%,56.7%,67.7%,62.3%,40.3%,50.0%,1.07,
2002,4,3,1,75.0%,10-5,66.7%,87-70,55.4%,3-3,50.0%,1,80.0%,14.3%,11.7%,2.7%,60.4%,77.6%,38.6%,62.2%,34.3%,49.0%,0.91,
2001,5,2,3,40.0%,7-9,43.8%,74-83,47.1%,2-1,66.7%,0,,,,,,,,,,,,
2000,3,3,0,100.0%,8-1,88.9%,52-29,64.2%,0-0,-,0,,,,,,,,,,,,
Career,444,232,212,52.3%,592-578,50.6%,6050-6028,50.1%,171-135,55.9%,402,84.9%,13.3%,16.1%,4.4%,61.3%,78.0%,50.1%,67.3%,31.5%,49.7%,0.96,
