Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2018 Wimbledon R64,L vs Kohlschreiber,55,28,2.0,22.5%,11.5%,27,18,1.5,15.0%,10.0%,11.7%,2.8%,3.1,23.0%,7.4%
2018 Wimbledon R128,W vs Mmoh,72,47,1.5,23.9%,15.6%,36,40,0.9,15.0%,16.7%,7.1%,7.5%,1.1,13.3%,12.0%
2018 Roland Garros R128,L vs Gulbis,19,41,0.5,8.2%,17.7%,19,41,0.5,9.5%,20.6%,,,0.9,12.5%,13.8%
2018 Monte Carlo Masters R32,L vs Zverev,29,37,0.8,17.0%,21.6%,23,32,0.7,15.2%,21.2%,10.6%,4.6%,1.7,18.1%,10.5%
2018 Australian Open R32,L vs Carreno Busta,34,31,1.1,12.1%,11.1%,34,31,1.1,15.7%,14.3%,,,1.9,12.1%,6.4%
2018 Australian Open R64,W vs Jaziri,37,45,0.8,10.7%,13.0%,37,45,0.8,12.9%,15.7%,,,2.0,15.6%,7.8%
2018 Australian Open R128,W vs Delbonis,21,22,1.0,10.6%,11.1%,21,22,1.0,12.0%,12.6%,,,0.8,11.6%,15.1%
2017 US Open R128,W vs Tomic,71,45,1.6,28.5%,18.1%,44,36,1.2,23.2%,18.9%,16.8%,6.3%,1.4,14.5%,10.4%
2017 Wimbledon QF,L vs Cilic,53,28,1.9,17.5%,9.3%,36,21,1.7,15.3%,8.9%,7.6%,5.5%,2.2,24.5%,11.3%
2017 Wimbledon R16,W vs Nadal,95,52,1.8,24.4%,13.4%,65,42,1.5,20.1%,13.0%,13.0%,4.9%,4.5,19.8%,4.4%
2017 Wimbledon R32,W vs Bedene,48,29,1.7,21.7%,13.1%,29,25,1.2,16.2%,14.0%,10.6%,4.5%,1.4,15.8%,11.3%
2017 Wimbledon R64,W vs Rosol,95,37,2.6,26.7%,10.4%,50,24,2.1,18.9%,9.1%,10.2%,5.3%,2.1,20.8%,9.8%
2017 Wimbledon R128,W vs Fucsovics,32,24,1.3,16.9%,12.7%,24,22,1.1,14.8%,13.6%,9.3%,4.3%,1.8,17.5%,9.5%
2017 s Hertogenbosch F,W vs Karlovic,48,3,16.0,33.6%,2.1%,26,2,13.0,26.3%,2.0%,11.1%,11.1%,8.5,23.8%,2.8%
2017 Roland Garros R128,L vs Garcia Lopez,59,50,1.2,22.1%,18.7%,37,37,1.0,17.5%,17.5%,10.0%,6.2%,2.9,17.6%,6.0%
2017 Estoril F,L vs Carreno Busta,26,23,1.1,21.8%,19.3%,20,20,1.0,18.3%,18.3%,11.9%,5.5%,1.5,21.0%,14.3%
2017 Indian Wells Masters R32,L vs Nishikori,17,20,0.9,16.5%,19.4%,7,14,0.5,8.5%,17.1%,2.4%,6.1%,1.5,19.4%,12.6%
2017 Australian Open R64,L vs Raonic,30,17,1.8,16.0%,9.0%,23,16,1.4,14.7%,10.3%,7.1%,6.4%,3.7,29.8%,8.0%
2017 Sydney F,W vs Evans,34,13,2.6,26.0%,9.9%,22,9,2.4,21.4%,8.7%,12.6%,6.8%,1.6,19.1%,12.2%
2016 Tokyo R16,W vs Baghdatis,23,11,2.1,21.3%,10.2%,12,7,1.7,13.5%,7.9%,9.0%,4.5%,0.9,12.0%,13.0%
Career (57 matches),,2512,1866,1.3,21.1%,15.7%,1631,1623,1.0,16.7%,16.6%,8.7%,4.2%,1.9,18.1%,9.4%
