Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2018,138,413,90,1704,101,1643,105,1611,52,1674,222,270,,
2017,25,1695,21,1924,27,1837,41,1776,12,1877,104,825,85,1632
2016,34,1255,26,1912,26,1847,57,1726,18,1821,153,495,90,1597
2015,38,1105,31,1864,29,1809,65,1716,23,1773,139,535,87,1606
2014,47,855,53,1794,55,1744,85,1666,34,1720,214,352,,
2013,368,113,106,1675,93,1637,115,1601,,,664,70,,
2012,67,719,58,1769,55,1728,88,1669,62,1655,242,277,,
2011,54,893,59,1786,51,1739,108,1614,42,1697,758,45,,
2010,134,406,125,1639,112,1603,,,119,1528,372,153,,
2009,248,182,139,1625,112,1611,162,1537,137,1499,740,45,,
2008,95,478,115,1678,84,1665,142,1566,103,1547,331,155,,
2007,117,380,139,1622,111,1602,162,1530,89,1565,221,261,,
2006,105,411,150,1600,123,1577,126,1580,152,1467,244,230,112,1481
2005,76,506,82,1719,76,1680,92,1632,79,1591,158,338,110,1489
2004,69,580,114,1669,100,1630,122,1596,115,1535,293,154,,
2003,195,189,231,1511,206,1475,212,1477,,,429,94,,
2002,255,113,251,1467,227,1449,,,169,1457,504,64,,
2001,535,37,,,,,,,,,808,27,,
2000,840,9,,,,,,,,,987,13,,
