Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
1998,699,20,,,,,,,,,332,153,,
1997,408,75,,,,,,,,,237,260,,
1996,242,160,,,,,,,,,161,404,,
1995,34,,,,,,,,,,13,2093,,
1994,72,,,,,,,,,,15,2120,,
1993,73,,,,,,,,,,14,1838,,
1992,111,,,,,,,,,,7,2235,,
1991,36,,,,,,,,,,28,1330,,
1990,120,,,,,,,,,,23,1246,,
1989,356,,,,,,,,,,19,,,
1988,494,,,,,,,,,,25,,,
1987,452,,,,,,,,,,52,,,
1986,621,,,,,,,,,,222,,,
1985,425,,,,,,,,,,451,,,
1984,676,,,,,,,,,,616,,,
