Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2022-11-14),1270,5,,,,,,,,,,,,
2020,544,71,,,,,,,,,554,100,,
2019,520,70,,,,,,,,,546,92,,
2018,,,,,,,,,,,666,29,,
2017,831,18,,,,,,,,,829,26,,
2016,672,30,,,,,,,,,,,,
2015,956,11,,,,,,,,,1272,4,,
2014,1152,4,,,,,,,,,1007,13,,
