Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2026 Australian Open R128,L vs Raducanu,4.3,3.7,4.9,45.6%,33.3%,33.3%,50.0%,49.1%,9.2%,1.0,1.2,1.5,1.9
2025 Mumbai F,L vs Teichmann,3.3,3.4,3.2,40.7%,52.2%,45.5%,50.0%,57.3%,10.9%,-6.0,-8.0,1.5,2.7
2024 Beijing R64,L vs Sabalenka,3.4,2.7,3.9,40.3%,37.5%,50.0%,100.0%,52.1%,20.6%,0.5,0.9,0.5,1.0
Last 52 Weeks (1 matches),,4.3,3.7,4.9,45.6%,33.3%,33.3%,50.0%,49.1%,9.2%,1.0,1.2,1.5,1.9
Career (3 matches),,3.6,3.3,3.9,41.9%,40.8%,42.4%,55.0%,52.7%,13.2%,-1.5,-2.2,1.2,1.9
