Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2026 Australian Open R128,L vs Raducanu,81.1%,37.2%,15.1%,5/3,2.71,0.0%,82.5%,30.3%,12.5%,2.77,0.0%,90.9%,60.0%,27.3%,2.57,0.0%
2025 Mumbai F,L vs Teichmann,43.5%,51.9%,3.2%,0/2,2.39,3.7%,79.3%,56.5%,3.4%,2.30,5.0%,66.7%,25.0%,16.7%,2.69,0.0%
2024 Beijing R64,L vs Sabalenka,76.6%,44.9%,7.8%,4/1,2.91,20.0%,70.0%,35.7%,10.0%,2.87,30.4%,91.3%,57.1%,4.3%,2.99,0.0%
Last 52 Weeks (1 matches),,81.1%,37.2%,15.1%,62.5%,2.71,0.0%,82.5%,30.3%,12.5%,2.77,0.0%,90.9%,60.0%,27.3%,2.57,0.0%
Career (3 matches),,66.5%,43.7%,8.4%,60.0%,2.69,8.5%,77.1%,39.3%,9.2%,2.66,12.1%,87.5%,54.3%,12.5%,2.78,0.0%
