Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2024-05-20),989,18,,,,,,,,,608,98,,
2023,979,18,,,,,,,,,,,,
2022,817,25,,,,,,,,,,,,
2021,607,67,,,,,,,,,,,,
2020,462,92,,,,,,,,,413,173,,
2019,468,86,,,,,,,,,422,148,,
2018,634,20,,,,,,,,,490,83,,
2017,1068,7,,,,,,,,,610,60,,
2016,977,10,,,,,,,,,335,161,,
2015,655,31,,,,,,,,,254,244,,
2014,1050,7,,,,,,,,,523,66,,
2013,616,46,,,,,,,,,375,152,,
2012,458,72,,,,,,,,,316,179,,
2011,559,54,,,,,,,,,628,53,,
2010,637,37,,,,,,,,,549,66,,
2009,711,27,,,,,,,,,,,,
2008,869,10,,,,,,,,,,,,
2007,695,15,,,,,,,,,,,,
2006,709,14,,,,,,,,,,,,
2005,551,26,,,,,,,,,,,,
