Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2022,6,3,3,50.0%,7-7,50.0%,68-64,51.5%,2-1,66.7%,0,,,,,,,,,,,,SF (W15 Kazan)
2021,5,1,4,20.0%,4-8,33.3%,43-61,41.3%,0-0,-,0,,,,,,,,,,,,R16 (W25 Nur-Sultan)
2020,3,1,2,33.3%,2-5,28.6%,26-39,40.0%,0-0,-,0,,,,,,,,,,,,R16 (W25 Moscow)
2019,23,9,14,39.1%,21-29,42.0%,207-238,46.5%,3-3,50.0%,0,,,,,,,,,,,,QF (W25 Hong Kong)
2018,30,17,13,56.7%,40-25,61.5%,332-256,56.5%,5-3,62.5%,0,,,,,,,,,,,,F (Sharm El Sheikh $15K)
2017,11,3,8,27.3%,9-17,34.6%,99-132,42.9%,0-1,0.0%,0,,,,,,,,,,,,QF (Shymkent $15K)
2016,9,2,7,22.2%,9-15,37.5%,101-122,45.3%,1-2,33.3%,0,,,,,,,,,,,,R16 (2x)
2015,12,5,7,41.7%,10-16,38.5%,106-129,45.1%,1-0,100.0%,0,,,,,,,,,,,,QF (Bursa $10K)
2014,15,4,11,26.7%,13-24,35.1%,145-179,44.8%,0-2,0.0%,0,,,,,,,,,,,,R16 (4x)
2013,26,13,13,50.0%,30-26,53.6%,248-228,52.1%,1-1,50.0%,0,,,,,,,,,,,,SF (2x)
2012,30,13,17,43.3%,29-36,44.6%,274-321,46.1%,6-1,85.7%,0,,,,,,,,,,,,F (Antalya Ihtisas 10K)
2011,32,17,15,53.1%,40-36,52.6%,358-343,51.1%,4-2,66.7%,0,,,,,,,,,,,,SF (3x)
2010,21,8,13,38.1%,20-26,43.5%,198-214,48.1%,1-2,33.3%,0,,,,,,,,,,,,SF (Williamsburg VA 10K)
2009,27,14,13,51.9%,32-27,54.2%,280-248,53.0%,2-1,66.7%,0,,,,,,,,,,,,W (Nonthaburi 10K)
2008,12,5,7,41.7%,14-14,50.0%,141-128,52.4%,0-1,0.0%,0,,,,,,,,,,,,QF (Asuncion 10K)
2007,16,7,9,43.8%,17-17,50.0%,160-163,49.5%,2-0,100.0%,0,,,,,,,,,,,,SF (Caracas 10K)
2006,7,3,4,42.9%,8-9,47.1%,75-76,49.7%,1-0,100.0%,0,,,,,,,,,,,,QF (Abu Dhabi 10K)
2005,16,11,5,68.8%,23-15,60.5%,191-168,53.2%,6-2,75.0%,0,,,,,,,,,,,,W (Guayaquil 10K)
Career,301,136,165,45.2%,328-352,48.2%,3052-3109,49.5%,35-22,61.4%,0,,,,,,,,,,,,
