Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2026 Indian Wells R16,L vs Gibson,38% (5/13),60% (3/5),0/4,43% (6/14),17% (1/6),1/2,0/0,0/1,0/0,0/1
2026 Australian Open R32,L vs Jovic,40% (4/10),100% (4/4),3/6,70% (7/10),14% (1/7),0/3,0/0,2/2,0/0,1/1
2025 Riyadh Finals RR,L vs Sabalenka,25% (2/8),50% (1/2),0/4,63% (5/8),0% (0/5),0/1,0/0,0/1,0/0,0/1
2025 Riyadh Finals RR,L vs Gauff,33% (3/9),33% (1/3),0/4,63% (5/8),20% (1/5),0/1,0/0,0/0,0/0,0/0
2025 Riyadh Finals RR,L vs Pegula,13% (1/8),0% (0/1),0/3,56% (5/9),20% (1/5),0/0,0/0,1/2,0/0,0/1
2025 Ningbo SF,L vs Rybakina,44% (4/9),0% (0/4),0/3,50% (4/8),25% (1/4),0/0,0/0,0/0,0/0,0/0
2025 Ningbo QF,W vs Bencic,50% (8/16),88% (7/8),4/6,53% (9/17),33% (3/9),3/6,1/1,0/0,1/1,0/0
2025 Wuhan SF,L vs Gauff,50% (5/10),100% (5/5),4/6,78% (7/9),0% (0/7),0/5,0/0,0/1,0/0,0/0
2025 Wuhan QF,W vs Swiatek,75% (6/8),100% (6/6),1/1,29% (2/7),50% (1/2),3/4,0/0,0/0,0/0,0/0
2025 Beijing QF,L vs Anisimova,44% (7/16),43% (3/7),2/5,47% (7/15),29% (2/7),3/3,0/0,2/2,0/0,0/0
2025 Beijing R32,W vs Kenin,71% (5/7),100% (5/5),0/1,50% (4/8),75% (3/4),4/5,2/3,0/0,1/1,0/0
2025 BJK Cup Finals RR,W vs Pegula,56% (5/9),100% (5/5),2/2,44% (4/9),50% (2/4),2/3,0/1,0/0,0/1,0/0
2025 US Open R64,W vs Jovic,56% (5/9),100% (5/5),2/2,67% (6/9),67% (4/6),3/4,1/2,0/0,0/1,0/0
2025 Cincinnati F,L vs Swiatek,45% (5/11),80% (4/5),2/6,55% (6/11),0% (0/6),2/4,0/0,2/2,0/0,1/1
2025 Cincinnati QF,W vs Gauff,62% (8/13),88% (7/8),4/7,57% (8/14),13% (1/8),2/6,1/2,0/0,1/1,0/0
2025 Montreal R64,L vs Ito,75% (12/16),67% (8/12),4/7,44% (7/16),0% (0/7),4/6,0/0,0/0,0/0,0/0
2025 Wimbledon R64,L vs Rakhimova,20% (3/15),67% (2/3),1/3,33% (5/15),40% (2/5),1/1,0/1,2/2,0/0,1/1
2025 Wimbledon R128,W vs Sevastova,75% (9/12),67% (6/9),3/5,46% (6/13),17% (1/6),4/6,2/2,0/0,1/1,0/0
2025 Bad Homburg SF,L vs Swiatek,13% (1/8),100% (1/1),0/4,75% (6/8),17% (1/6),0/1,0/0,1/2,0/0,1/1
2025 Roland Garros R16,L vs Svitolina,67% (10/15),60% (6/10),3/7,50% (7/14),0% (0/7),2/5,0/1,0/0,0/1,0/0
2026 (2 matches),,39.1%,77.8%,30.0%,54.2%,15.4%,20.0%,-,66.7%,-,50.0%
2025 (34 matches),,52.9%,77.3%,40.5%,48.9%,22.7%,63.4%,71.4%,70.0%,73.3%,62.5%
2024 (37 matches),,48.5%,76.1%,35.2%,42.5%,23.9%,70.1%,78.4%,53.8%,93.3%,53.8%
2023 (8 matches),,38.9%,57.1%,33.3%,51.1%,15.2%,65.0%,50.0%,33.3%,100.0%,25.0%
2022 (6 matches),,39.4%,71.4%,23.8%,47.3%,25.7%,55.6%,66.7%,33.3%,50.0%,33.3%
Career (230 matches),,49.9%,79.3%,37.6%,49.7%,20.7%,61.4%,66.8%,52.9%,75.3%,50.6%
