Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,195,93,102,47.7%,245-259,48.6%,2485-2565,49.2%,55-54,50.5%,185,80.6%,18.3%,6.9%,3.6%,60.5%,71.9%,51.7%,63.9%,35.3%,49.6%,0.98
Clay,220,117,103,53.2%,293-261,52.9%,2750-2597,51.4%,28-49,36.4%,202,78.1%,25.3%,4.8%,3.1%,64.2%,68.6%,53.1%,63.0%,39.2%,50.9%,1.06
Grass,33,16,17,48.5%,48-54,47.1%,504-526,48.9%,13-9,59.1%,33,81.1%,16.4%,8.5%,2.9%,61.8%,73.0%,52.9%,65.3%,33.7%,49.4%,0.97
Carpet,20,11,9,55.0%,27-25,51.9%,261-256,50.5%,4-3,57.1%,17,79.9%,23.8%,7.1%,2.9%,62.9%,71.5%,47.7%,62.7%,38.2%,50.3%,1.02
Grand Slams,68,36,32,52.9%,135-121,52.7%,1275-1247,50.6%,22-21,51.2%,67,79.2%,21.8%,6.1%,3.1%,63.0%,70.9%,51.9%,63.9%,37.2%,50.4%,1.03
Masters,83,37,46,44.6%,91-104,46.7%,948-1004,48.6%,18-22,45.0%,83,77.5%,19.8%,6.2%,3.4%,62.1%,68.9%,51.1%,62.1%,36.5%,49.3%,0.96
Other Tours,296,153,143,51.7%,359-339,51.4%,3484-3391,50.7%,56-68,45.2%,287,80.2%,21.7%,6.1%,3.3%,62.2%,70.8%,52.7%,64.0%,37.1%,50.4%,1.03
Best of 5,88,44,44,50.0%,159-160,49.8%,1552-1555,50.0%,23-25,47.9%,68,79.0%,21.6%,6.0%,3.1%,63.1%,70.9%,51.8%,63.8%,37.1%,50.3%,1.03
Best of 3,380,193,187,50.8%,454-439,50.8%,4448-4389,50.3%,77-90,46.1%,369,79.7%,21.3%,6.1%,3.3%,62.1%,70.3%,52.4%,63.5%,37.0%,50.2%,1.01
Finals,10,4,6,40.0%,11-17,39.3%,123-142,46.4%,1-2,33.3%,10,67.4%,25.4%,4.9%,2.7%,64.4%,64.9%,46.6%,58.4%,37.1%,48.1%,0.89
Semi-finals,16,9,7,56.3%,21-20,51.2%,211-203,51.0%,6-5,54.5%,16,81.1%,20.8%,4.8%,2.8%,65.1%,70.3%,55.3%,65.0%,37.5%,50.8%,1.07
Quarter-finals,41,16,25,39.0%,38-55,40.9%,439-464,48.6%,2-5,28.6%,40,75.3%,23.0%,5.0%,2.7%,63.7%,67.9%,50.8%,61.7%,38.1%,49.7%,0.99
vs Righties,422,220,202,52.1%,561-534,51.2%,5410-5346,50.3%,91-98,48.1%,393,79.3%,21.7%,6.1%,3.3%,62.4%,70.5%,52.0%,63.5%,37.2%,50.2%,1.02
vs Lefties,45,16,29,35.6%,50-64,43.9%,574-584,49.6%,9-17,34.6%,43,81.8%,18.2%,6.2%,3.5%,61.5%,70.4%,54.2%,64.1%,35.3%,49.8%,0.98
vs Top 10,52,11,41,21.2%,42-103,29.0%,621-796,43.8%,7-19,26.9%,48,74.0%,14.6%,4.1%,2.7%,64.0%,67.0%,49.5%,60.7%,33.2%,47.1%,0.84
