Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,9,Hard,18,9,9,50.0%,9,4,5,44.4%,2004,2012,R32,17,0.97,5.5%,3.8%,62.5%,69.9%,48.7%,62.0%,36.8%,64.2%,45.1%
Roland Garros,9,Clay,23,14,9,60.9%,9,4,5,44.4%,2003,2013,QF,21,1.11,3.5%,2.7%,66.4%,67.2%,53.0%,62.4%,41.6%,59.1%,45.0%
Wimbledon,9,Grass,18,9,9,50.0%,17,9,8,52.9%,2004,2013,R16,18,1.00,8.4%,2.7%,62.8%,73.5%,52.1%,65.5%,34.6%,48.4%,39.7%
US Open,8,Hard,14,6,8,42.9%,10,6,4,60.0%,2004,2012,R16,14,1.01,7.4%,3.7%,59.1%,74.1%,53.3%,65.6%,34.8%,47.1%,31.6%
Olympics,2,,6,4,2,66.7%,3,2,1,66.7%,2004,2008,R16,3,0.98,9.3%,3.6%,60.8%,72.0%,53.9%,64.9%,34.4%,63.6%,29.4%
Davis Cup,8,,21,11,10,52.4%,8,4,4,50.0%,2004,2012,,0,,,,,,,,,,
Miami Masters,9,Hard,18,9,9,50.0%,7,5,2,71.4%,2004,2012,QF,18,1.02,6.5%,3.4%,59.8%,71.4%,52.6%,63.8%,36.9%,65.2%,36.8%
Gstaad,8,Clay,25,17,8,68.0%,8,5,3,62.5%,2004,2012,F,25,1.14,7.1%,3.3%,63.5%,74.2%,57.1%,67.9%,36.5%,66.4%,34.9%
Moscow,8,Hard,18,11,7,61.1%,7,3,4,42.9%,2003,2011,W,18,1.11,6.9%,2.2%,64.8%,72.8%,49.8%,64.7%,39.1%,57.5%,46.8%
Indian Wells Masters,8,Hard,14,6,8,42.9%,7,1,6,14.3%,2004,2012,QF,14,0.95,6.4%,3.6%,58.2%,70.6%,53.5%,63.5%,34.8%,64.7%,29.8%
Monte Carlo Masters,8,Clay,14,6,8,42.9%,4,1,3,25.0%,2004,2013,QF,14,0.95,3.6%,3.8%,64.7%,61.8%,47.5%,56.8%,40.8%,54.9%,34.5%
Rome Masters,8,Clay,12,4,8,33.3%,2,0,2,0.0%,2004,2013,R16,12,0.96,4.7%,4.5%,65.9%,63.3%,48.0%,58.1%,40.4%,60.2%,38.0%
