Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2013,1015,10,,,,,,,,,,,,
2012,110,511,94,1702,93,1641,76,1689,93,1597,,,,
2011,115,494,99,1694,88,1661,90,1655,84,1595,173,390,,
2010,79,622,74,1741,74,1685,57,1738,65,1627,177,405,112,1527
2009,35,1030,71,1753,63,1697,49,1752,51,1653,241,270,115,1531
2008,19,1245,23,1903,20,1849,25,1843,44,1698,223,265,101,1569
2007,33,890,35,1855,35,1777,21,1847,47,1679,350,150,110,1518
2006,91,445,39,1831,39,1777,36,1791,,,201,280,83,1578
2005,26,1120,26,1891,45,1746,17,1861,30,1735,67,840,61,1636
2004,50,781,75,1750,104,1616,54,1746,57,1652,86,691,85,1558
2003,88,417,116,1669,203,1477,98,1626,,,176,268,,
2002,288,100,,,,,,,,,551,55,,
2001,989,6,,,,,,,,,1164,8,,
