Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,13,4,9,30.8%,14-23,37.8%,184-204,47.4%,4-5,44.4%,13,79.9%,15.3%,6.6%,3.5%,66.0%,70.1%,49.1%,63.0%,32.7%,48.5%,0.88
Clay,20,10,10,50.0%,24-21,53.3%,233-214,52.1%,5-6,45.5%,13,72.2%,22.1%,4.3%,4.2%,62.0%,64.4%,51.8%,59.6%,37.9%,48.7%,0.94
Grass,5,1,4,20.0%,3-9,25.0%,38-63,37.6%,0-0,-,5,61.5%,13.2%,5.7%,4.2%,61.2%,65.4%,40.8%,55.8%,33.5%,44.9%,0.76
Grand Slams,8,2,6,25.0%,9-18,33.3%,110-140,44.0%,0-3,0.0%,8,69.1%,19.4%,5.1%,4.7%,63.9%,65.7%,43.9%,57.8%,35.1%,47.2%,0.83
Masters,1,0,1,0.0%,1-2,33.3%,16-19,45.7%,1-1,50.0%,1,75.0%,17.6%,6.5%,1.6%,57.7%,67.6%,51.9%,61.0%,36.1%,48.6%,0.92
Other Tours,18,7,11,38.9%,15-24,38.5%,194-218,47.1%,7-5,58.3%,18,76.8%,17.5%,5.6%,4.2%,63.4%,69.3%,49.4%,62.0%,35.7%,48.9%,0.94
Best of 5,11,4,7,36.4%,15-21,41.7%,160-180,47.1%,0-4,0.0%,9,70.5%,17.7%,5.1%,4.3%,65.4%,65.9%,44.2%,58.4%,34.2%,47.0%,0.82
Best of 3,27,11,16,40.7%,26-32,44.8%,295-301,49.5%,9-7,56.3%,22,76.7%,17.6%,5.9%,3.6%,63.0%,68.2%,51.6%,62.1%,35.3%,48.7%,0.93
Quarter-finals,1,0,1,0.0%,0-2,0.0%,4-12,25.0%,0-0,-,1,25.0%,25.0%,1.8%,3.5%,73.7%,45.2%,40.0%,43.9%,36.7%,40.6%,0.65
vs Righties,30,11,19,36.7%,29-42,40.8%,334-372,47.3%,8-8,50.0%,23,71.3%,15.1%,5.7%,3.6%,62.9%,65.9%,50.0%,60.0%,33.5%,47.0%,0.84
vs Lefties,7,4,3,57.1%,12-9,57.1%,111-96,53.6%,1-2,33.3%,7,82.4%,25.5%,5.2%,4.4%,67.1%,70.7%,46.6%,62.7%,38.6%,51.2%,1.04
vs Top 10,1,0,1,0.0%,0-3,0.0%,2-18,10.0%,0-0,-,1,20.0%,0.0%,0.0%,6.3%,50.8%,46.9%,29.0%,38.1%,28.6%,33.3%,0.46
