Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2025-11-03),1623,2,,,,,,,,,,,,
2024,787,29,,,,,,,,,,,,
2023,451,96,,,,,,,,,,,,
2022,1118,7,,,,,,,,,,,,
2021,181,368,237,1505,210,1471,199,1488,191,1451,,,,
2020,155,417,182,1535,168,1503,160,1509,,,334,155,,
2019,145,370,205,1541,188,1508,164,1522,152,1497,387,110,,
2018,188,272,206,1526,189,1499,211,1476,163,1481,382,75,,
2017,206,248,249,1482,269,1400,196,1482,,,291,199,,
2016,255,204,258,1457,274,1378,196,1482,,,271,255,,
2015,144,408,206,1527,197,1487,171,1514,167,1492,221,312,,
2014,80,632,122,1650,124,1595,104,1629,113,1555,341,182,,
2013,184,276,198,1547,300,1346,157,1543,,,333,187,,
2012,310,146,,,,,,,,,499,109,,
2011,724,21,,,,,,,,,1287,10,,
2010,425,90,,,,,,,,,883,30,,
2009,929,10,,,,,,,,,868,30,,
2008,1460,2,,,,,,,,,,,,
