Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2019 Bratislava CH QF,W vs Safwat,64.1%,63.4%,6.3%,3/1,1.90,1.3%,55.6%,55.0%,2.8%,1.81,2.0%,77.8%,71.4%,11.1%,2.08,0.0%
2018 Panama City CH F,L vs Berlocq,86.5%,37.8%,0.0%,0/0,2.01,11.9%,82.1%,34.8%,0.0%,1.86,22.7%,91.7%,40.9%,0.0%,2.17,0.0%
2015 Raanana CH R16,W vs Kravchuk,74.3%,50.9%,1.4%,1/0,2.35,23.2%,68.9%,45.2%,0.0%,2.28,35.0%,82.8%,58.3%,3.4%,2.45,6.9%
2014 Queens Club R32,L vs Ward,67.1%,44.9%,4.1%,0/3,2.00,31.8%,69.2%,47.2%,3.8%,1.79,53.8%,72.2%,38.5%,5.6%,2.31,0.0%
Career (4 matches),,72.2%,48.9%,3.0%,50.0%,2.08,15.6%,68.3%,45.5%,1.9%,1.96,24.8%,81.6%,53.8%,5.1%,2.26,2.1%
