Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2015,10,4,6,40.0%,8-13,38.1%,79-105,42.9%,1-0,100.0%,0,,,,,,,,,,,,QF (2x)
2014,21,14,7,66.7%,29-17,63.0%,248-200,55.4%,4-3,57.1%,5,-,-,3.1%,5.9%,58.4%,61.1%,38.5%,51.7%,47.3%,49.6%,0.98,W (Winnipeg 25K)
2013,55,38,17,69.1%,85-43,66.4%,646-466,58.1%,1-7,12.5%,0,,,,,,,,,,,,W (2x)
2012,17,10,7,58.8%,20-16,55.6%,166-153,52.0%,0-2,0.0%,0,,,,,,,,,,,,F (Cagnes Sur Mer 100K)
2011,38,26,12,68.4%,57-32,64.0%,455-338,57.4%,3-3,50.0%,0,,,,,,,,,,,,W (2x)
2010,43,31,12,72.1%,66-27,71.0%,483-356,57.6%,5-4,55.6%,0,,,,,,,,,,,,W (4x)
2009,24,13,11,54.2%,28-16,63.6%,211-173,54.9%,0-1,0.0%,0,,,,,,,,,,,,SF (Dothan AL 75K)
2008,97,74,23,76.3%,161-54,74.9%,1164-774,60.1%,7-7,50.0%,0,,,,,,,,,,,,W (5x)
2007,35,24,11,68.6%,50-25,66.7%,381-273,58.3%,1-5,16.7%,0,,,,,,,,,,,,F (3x)
2006,38,24,14,63.2%,51-33,60.7%,405-351,53.6%,3-2,60.0%,0,,,,,,,,,,,,W (Innsbruck 10K)
2005,20,14,6,70.0%,30-11,73.2%,214-158,57.5%,3-2,60.0%,0,,,,,,,,,,,,W (2x)
2004,4,2,2,50.0%,5-5,50.0%,48-48,50.0%,0-1,0.0%,0,,,,,,,,,,,,R16 (2x)
2003,2,0,2,0.0%,0-4,0.0%,16-26,38.1%,0-0,-,0,,,,,,,,,,,,R32 (2x)
Career,404,274,130,67.8%,590-296,66.6%,4516-3421,56.9%,28-37,43.1%,5,-,-,3.1%,5.9%,58.4%,61.1%,38.5%,51.7%,47.3%,49.6%,0.98,
