Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,92,35,57,38.0%,82-116,41.4%,814-951,46.1%,6-9,40.0%,0,,,,,,,,,,,
Clay,185,95,90,51.4%,199-186,51.7%,1731-1637,51.4%,22-13,62.9%,0,,,,,,,,,,,
Grass,17,3,14,17.6%,7-27,20.6%,125-186,40.2%,2-1,66.7%,0,,,,,,,,,,,
Carpet,30,6,24,20.0%,15-47,24.2%,192-328,36.9%,3-5,37.5%,0,,,,,,,,,,,
Grand Slams,36,8,28,22.2%,21-55,27.6%,287-407,41.4%,5-2,71.4%,0,,,,,,,,,,,
Premiers,2,1,1,50.0%,2-2,50.0%,19-15,55.9%,0-0,-,0,,,,,,,,,,,
Finals,17,10,7,58.8%,16-18,47.1%,143-149,49.0%,2-1,66.7%,0,,,,,,,,,,,
Semi-finals,26,14,12,53.8%,29-22,56.9%,242-205,54.1%,2-6,25.0%,0,,,,,,,,,,,
Quarter-finals,35,23,12,65.7%,46-25,64.8%,337-277,54.9%,5-2,71.4%,0,,,,,,,,,,,
vs Righties,161,54,107,33.5%,121-217,35.8%,1330-1660,44.5%,21-16,56.8%,0,,,,,,,,,,,
vs Lefties,18,1,17,5.6%,4-33,10.8%,92-219,29.6%,1-1,50.0%,0,,,,,,,,,,,
vs Top 10,6,0,6,0.0%,1-11,8.3%,27-70,27.8%,0-1,0.0%,0,,,,,,,,,,,
