Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
1988,180,3,190,1563,179,1503,136,1540,168,1409,,,,
1987,117,7,118,1651,104,1578,93,1601,,,,,,
1986,76,9,115,1633,114,1553,91,1615,152,1449,,,,
1985,,,108,1653,105,1564,83,1621,138,1465,,,,
1984,108,,94,1672,82,1610,63,1653,140,1452,,,,
1983,,,95,1660,106,1534,56,1656,120,1475,,,,
1982,,,46,1797,56,1626,25,1765,86,1562,,,,
1981,,,39,1769,38,1638,31,1713,,,,,,
1980,,,96,1615,111,1468,74,1585,133,1437,,,,
1979,,,88,1576,76,1485,70,1542,101,1440,,,,
1978,,,98,1552,79,1463,81,1483,,,,,,
1977,,,110,1465,92,1373,108,1398,102,1390,,,,
1976,,,113,1382,96,1316,115,1344,,,,,,
