Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2025 Linz R16,L vs Muchova,0.87,0.56,38.8,2.0,0.0%,72.4%,0.0%,29.6%,42.3%,20.0%
2024 Merida QF,L vs Korneeva,0.84,0.56,37.0,2.2,0.0%,34.8%,0.0%,35.0%,47.4%,39.5%
2024 Merida R32,W vs Sanchez,1.23,2.37,30.2,2.0,0.0%,65.2%,0.0%,63.6%,65.0%,72.2%
2024 Beijing R128,W vs Gao,1.07,1.11,83.7,4.8,1.3%,57.9%,0.0%,50.0%,49.2%,46.4%
2024 US Open R64,L vs Haddad Maia,0.90,0.37,31.5,2.2,0.0%,41.7%,0.0%,40.9%,36.8%,11.1%
2024 US Open R128,W vs Noel,1.15,2.01,34.1,2.0,0.0%,62.5%,0.0%,75.0%,50.0%,62.1%
2024 Budapest R32,W vs Topalova,1.06,1.16,76.5,8.8,0.0%,49.0%,0.0%,56.3%,49.0%,55.0%
2024 Wimbledon R128,L vs Paolini,0.94,0.75,54.5,2.7,0.0%,43.8%,0.0%,51.7%,39.5%,44.4%
2024 Roland Garros R128,L vs Andreescu,1.12,0.78,57.7,2.3,0.0%,41.2%,0.0%,38.7%,39.3%,44.0%
2024 Madrid R16,L vs Swiatek,0.99,0.39,27.7,2.5,0.0%,25.0%,0.0%,27.8%,30.0%,27.8%
2024 Madrid R32,W vs Azarenka,1.02,1.22,66.1,2.4,0.0%,58.3%,0.0%,53.3%,62.5%,42.1%
2024 Miami R128,L vs Rus,1.01,0.56,42.9,2.0,3.7%,48.1%,0.0%,48.0%,37.0%,20.0%
2024 Australian Open R128,L vs Korneeva,0.99,0.81,61.3,6.9,0.0%,35.9%,2.9%,50.0%,55.3%,38.1%
2024 United Cup RR,L vs Swiatek,1.12,0.56,44.9,2.3,0.0%,33.3%,0.0%,54.2%,32.0%,25.0%
2023 Beijing R64,L vs Swiatek,0.94,0.73,44.9,2.3,2.9%,37.1%,0.0%,43.8%,45.8%,47.6%
2023 US Open R64,L vs Wang,0.95,0.89,72.9,4.0,0.0%,46.9%,0.0%,54.3%,44.4%,48.9%
2023 US Open R128,W vs Kalinina,1.18,1.32,61.2,2.5,2.7%,48.6%,0.0%,43.8%,58.8%,61.3%
2023 Cleveland F,W vs Alexandrova,1.04,1.13,82.0,14.1,0.0%,58.3%,0.0%,52.4%,44.2%,53.1%
2023 Wimbledon R64,L vs Swiatek,1.14,0.44,35.0,2.0,0.0%,50.0%,0.0%,19.0%,26.3%,23.5%
2023 Wimbledon R128,W vs Trevisan,1.04,1.57,45.8,2.2,0.0%,69.7%,0.0%,62.5%,33.3%,69.2%
2025 (1 matches),,0.87,0.56,38.8,2.0,0.0%,72.4%,0.0%,29.6%,42.3%,20.0%
2024 (13 matches),,1.03,0.90,56.3,2.6,0.4%,47.8%,0.2%,50.2%,47.1%,42.0%
2023 (9 matches),,1.04,1.06,63.3,3.2,1.1%,49.5%,0.9%,50.1%,49.5%,52.5%
2022 (12 matches),,1.02,1.09,55.8,2.4,0.7%,55.3%,1.5%,53.8%,46.7%,50.8%
2021 (15 matches),,1.02,0.97,62.3,2.8,0.9%,50.9%,0.0%,49.5%,46.3%,47.9%
Career (220 matches),,1.03,0.99,56.6,2.7,0.7%,50.3%,0.4%,50.1%,47.4%,48.4%
