Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2025 Linz R16,L vs Muchova,17.9%,21.4%,43.2%,20.0%,24.4%,47.2%,69.6%,27.3%,25.0%,11.1%,11.1%,25.0%,100.0%,50.0%,100.0%,-14
2024 Merida QF,L vs Korneeva,2.3%,2.3%,33.3%,3.2%,3.2%,43.3%,69.2%,22.2%,33.3%,0.0%,0.0%,8.3%,62.5%,0.0%,-,-119
2024 Merida R32,W vs Sanchez,11.1%,11.1%,63.2%,12.9%,12.9%,55.6%,41.2%,35.7%,0.0%,8.3%,8.3%,81.8%,80.0%,42.9%,0.0%,-36
2024 Beijing R128,W vs Gao,10.1%,13.5%,49.6%,10.3%,14.7%,48.1%,59.6%,26.6%,41.7%,10.0%,10.0%,55.6%,60.0%,0.0%,0.0%,-28
2024 US Open R128,W vs Noel,18.2%,25.0%,64.7%,24.1%,31.0%,54.5%,25.0%,23.5%,50.0%,7.7%,15.4%,83.3%,62.5%,20.0%,-,-42
2024 Budapest R32,W vs Topalova,5.1%,10.1%,51.6%,3.8%,10.0%,53.2%,63.2%,38.1%,57.1%,12.5%,12.5%,42.9%,25.0%,62.5%,-,2
2024 Wimbledon R128,L vs Paolini,19.7%,24.6%,35.4%,18.4%,26.3%,32.3%,73.7%,36.8%,66.7%,22.7%,22.7%,41.2%,66.7%,69.2%,60.0%,-51
2024 Roland Garros R128,L vs Andreescu,13.8%,15.4%,31.5%,19.5%,19.5%,27.3%,4.8%,20.0%,40.0%,4.5%,9.1%,38.1%,11.1%,15.4%,0.0%,-71
2024 Madrid R16,L vs Swiatek,5.3%,5.3%,24.2%,3.4%,3.4%,21.4%,21.4%,60.0%,50.0%,16.7%,16.7%,40.0%,50.0%,25.0%,33.3%,9
2024 Madrid R32,W vs Azarenka,8.6%,9.7%,51.8%,9.5%,10.8%,55.2%,18.2%,9.8%,0.0%,5.3%,5.3%,38.9%,0.0%,0.0%,0.0%,-104
2024 Miami R128,L vs Rus,9.6%,11.5%,45.5%,13.2%,15.8%,42.4%,50.0%,16.7%,25.0%,0.0%,0.0%,54.5%,60.0%,0.0%,0.0%,-119
2024 Australian Open R128,L vs Korneeva,12.3%,12.3%,35.5%,11.8%,11.8%,35.6%,39.1%,17.9%,0.0%,15.0%,15.0%,35.3%,15.4%,0.0%,-,6
2024 United Cup RR,L vs Swiatek,11.8%,17.6%,37.2%,15.0%,22.5%,41.2%,26.3%,28.6%,28.6%,0.0%,0.0%,22.2%,20.0%,25.0%,-,-119
2023 Beijing R64,L vs Swiatek,19.4%,20.9%,29.8%,27.3%,29.5%,28.1%,47.4%,24.0%,22.2%,6.3%,6.3%,33.3%,37.5%,25.0%,100.0%,-69
2023 US Open R128,W vs Kalinina,7.2%,11.6%,45.8%,4.9%,12.2%,46.2%,20.0%,14.3%,0.0%,13.0%,13.0%,45.0%,63.6%,0.0%,0.0%,5
2023 Cleveland F,W vs Alexandrova,17.8%,20.0%,48.6%,22.1%,25.0%,43.4%,33.3%,34.3%,33.3%,5.6%,5.6%,64.7%,33.3%,66.7%,100.0%,-66
2023 Wimbledon R64,L vs Swiatek,15.6%,17.8%,26.5%,20.7%,24.1%,34.8%,44.4%,18.2%,0.0%,8.3%,8.3%,9.1%,100.0%,0.0%,0.0%,-47
2023 Roland Garros R16,L vs Haddad Maia,12.2%,15.3%,40.9%,14.3%,18.7%,46.2%,57.8%,37.0%,12.5%,8.6%,8.6%,28.1%,64.3%,33.3%,16.7%,-32
2023 Roland Garros R64,W vs Martic,11.7%,13.3%,44.9%,14.0%,16.3%,51.4%,26.3%,54.2%,55.6%,7.7%,7.7%,25.0%,33.3%,85.7%,50.0%,-51
2023 Roland Garros R128,W vs Burel,15.1%,20.4%,51.4%,12.5%,21.4%,53.1%,30.4%,57.6%,66.7%,25.0%,25.0%,47.6%,13.3%,53.8%,66.7%,99
Career (54 matches),,12.3%,15.6%,44.9%,13.5%,17.5%,46.3%,44.5%,30.8%,37.1%,11.6%,13.2%,40.9%,49.0%,25.6%,29.7%,-8
