Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2026 Indian Wells R64,L vs Gibson,45% (5/11),0% (0/5),0/2,30% (3/10),33% (1/3),0/0,0/0,1/1,0/0,0/0
2026 Abu Dhabi F,L vs Bejlek,22% (2/9),50% (1/2),1/3,50% (5/10),20% (1/5),1/1,0/0,2/3,0/0,0/1
2026 Abu Dhabi QF,W vs Eala,67% (6/9),83% (5/6),2/2,44% (4/9),50% (2/4),3/4,1/1,0/0,0/0,0/0
2025 Riyadh Finals RR,L vs Rybakina,40% (4/10),25% (1/4),1/3,30% (3/10),0% (0/3),1/1,0/0,1/1,0/0,1/1
2025 Tokyo QF,L vs Kenin,38% (5/13),80% (4/5),1/5,46% (6/13),17% (1/6),3/3,0/1,0/0,0/1,0/0
2025 Ningbo F,L vs Rybakina,27% (3/11),33% (1/3),0/3,50% (6/12),17% (1/6),1/1,1/1,0/2,0/0,0/1
2025 Ningbo SF,W vs Shnaider,56% (5/9),80% (4/5),0/2,40% (4/10),50% (2/4),2/4,2/3,0/0,1/1,0/0
2025 Wuhan R16,L vs Pegula,27% (4/15),75% (3/4),0/4,40% (6/15),33% (2/6),2/3,1/2,1/1,0/0,1/1
2025 Wuhan R64,W vs Mboko,50% (4/8),100% (4/4),0/1,22% (2/9),50% (1/2),4/4,2/3,0/0,1/1,0/0
2025 Seoul F,L vs Swiatek,44% (7/16),71% (5/7),1/2,27% (4/15),25% (1/4),4/4,0/0,1/2,0/0,1/2
2025 Seoul SF,W vs Siniakova,78% (7/9),71% (5/7),0/2,56% (5/9),60% (3/5),2/3,0/0,0/0,0/0,0/0
2025 Seoul R16,W vs Boisson,46% (6/13),83% (5/6),1/2,31% (4/13),50% (2/4),3/3,0/0,1/1,0/0,0/0
2025 Monterrey F,L vs Shnaider,40% (6/15),50% (3/6),1/4,43% (6/14),33% (2/6),2/2,0/0,2/2,0/0,1/1
2025 Hamburg R32,W vs Vedder,86% (6/7),67% (4/6),0/0,0% (0/8),- (0/0),3/3,1/1,0/0,1/1,0/0
2025 Bad Homburg QF,L vs Swiatek,18% (2/11),50% (1/2),1/2,36% (4/11),50% (2/4),0/1,0/0,1/1,0/0,0/0
2025 s Hertogenbosch SF,L vs Mertens,53% (8/15),63% (5/8),1/3,27% (4/15),0% (0/4),2/4,0/1,0/1,0/1,0/1
2025 Roland Garros R16,L vs Gauff,33% (3/9),33% (1/3),1/5,56% (5/9),0% (0/5),1/1,0/0,0/0,0/0,0/0
2025 Stuttgart R16,W vs Andreeva,75% (6/8),83% (5/6),2/2,22% (2/9),0% (0/2),5/5,2/2,0/0,1/1,0/0
2025 Stuttgart R32,W vs Samsonova,56% (5/9),80% (4/5),0/1,11% (1/9),0% (0/1),3/3,1/1,0/0,0/0,0/0
2025 Charleston SF,L vs Pegula,64% (9/14),67% (6/9),3/7,71% (10/14),30% (3/10),3/5,0/0,1/1,0/0,0/0
2026 (3 matches),,44.8%,46.2%,42.9%,41.4%,33.3%,80.0%,100.0%,75.0%,-,0.0%
2025 (25 matches),,48.0%,67.9%,29.0%,37.3%,27.4%,79.2%,69.6%,66.7%,77.8%,66.7%
2024 (14 matches),,43.4%,65.3%,25.6%,40.1%,24.6%,66.7%,60.0%,66.7%,57.1%,85.7%
2023 (12 matches),,44.1%,79.7%,38.1%,46.2%,24.2%,74.4%,60.0%,46.7%,66.7%,66.7%
2022 (7 matches),,41.9%,86.1%,56.0%,44.7%,28.9%,65.4%,80.0%,80.0%,100.0%,100.0%
Career (259 matches),,48.7%,76.5%,34.9%,44.0%,26.0%,70.6%,71.2%,59.9%,69.1%,59.4%
