Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,275,157,118,57.1%,356-286,55.5%,3211-2907,52.5%,34-49,41.0%,272,70.8%,34.6%,7.0%,7.5%,58.7%,69.2%,44.1%,58.8%,43.5%,51.1%,1.06
Clay,94,47,47,50.0%,109-104,51.2%,1014-951,51.6%,10-12,45.5%,94,66.1%,37.7%,5.8%,7.5%,57.5%,67.1%,43.9%,57.3%,44.6%,50.9%,1.04
Grass,57,38,19,66.7%,82-44,65.1%,672-549,55.0%,10-11,47.6%,57,77.2%,33.7%,9.5%,6.7%,59.1%,72.6%,46.4%,61.9%,42.7%,52.2%,1.12
Grand Slams,74,39,35,52.7%,92-81,53.2%,834-781,51.6%,7-13,35.0%,74,67.0%,37.8%,5.6%,6.9%,57.8%,66.8%,44.1%,57.2%,44.4%,50.8%,1.04
Premiers,166,95,71,57.2%,209-165,55.9%,1890-1677,53.0%,20-35,36.4%,165,72.7%,33.7%,7.8%,7.6%,58.9%,70.8%,44.0%,59.8%,42.9%,51.3%,1.07
Internationals,118,75,43,63.6%,169-105,61.7%,1412-1169,54.7%,19-16,54.3%,118,70.5%,39.0%,7.5%,7.4%,57.2%,69.6%,44.6%,58.9%,45.6%,52.2%,1.11
Finals,14,6,8,42.9%,17-18,48.6%,166-165,50.2%,2-2,50.0%,14,70.1%,30.1%,5.7%,6.0%,63.0%,69.0%,40.2%,58.4%,41.4%,50.1%,0.99
Semi-finals,32,14,18,43.8%,34-39,46.6%,357-357,50.0%,6-9,40.0%,32,71.2%,29.7%,6.6%,6.4%,61.0%,67.8%,46.4%,59.4%,42.0%,50.6%,1.03
Quarter-finals,46,30,16,65.2%,65-41,61.3%,546-453,54.7%,5-7,41.7%,46,73.4%,36.2%,7.3%,6.7%,60.3%,70.3%,44.6%,60.1%,44.0%,52.0%,1.10
vs Righties,379,210,169,55.4%,476-395,54.6%,4333-3950,52.3%,51-69,42.5%,376,70.2%,34.9%,7.1%,7.3%,58.6%,69.0%,44.0%,58.7%,43.6%,51.0%,1.05
vs Lefties,41,26,15,63.4%,59-39,60.2%,490-424,53.6%,2-3,40.0%,41,73.2%,34.6%,7.3%,8.4%,57.4%,70.7%,45.9%,60.1%,43.4%,51.7%,1.09
vs Top 10,60,19,41,31.7%,49-83,37.1%,570-655,46.5%,4-12,25.0%,59,68.3%,26.4%,5.9%,6.8%,59.2%,67.3%,43.4%,57.6%,39.6%,48.5%,0.93
