Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,10,Hard,17,7,10,41.2%,6,2,4,33.3%,2017,2026,R32,17,0.97,6.0%,7.4%,57.1%,65.6%,40.9%,55.0%,43.5%,55.6%,42.6%
Roland Garros,9,Clay,21,12,9,57.1%,2,1,1,50.0%,2017,2025,R16,21,1.09,4.3%,6.6%,57.7%,67.2%,47.2%,58.7%,45.2%,52.8%,46.7%
Wimbledon,7,Grass,18,11,7,61.1%,7,3,4,42.9%,2016,2025,R16,15,1.02,6.7%,7.4%,58.7%,67.7%,43.0%,57.5%,43.3%,53.4%,52.9%
US Open,10,Hard,23,13,10,56.5%,6,2,4,33.3%,2016,2025,R16,21,1.06,5.7%,6.5%,58.0%,66.8%,44.7%,57.5%,45.2%,55.7%,50.8%
Olympics,2,,3,1,2,33.3%,1,1,0,100.0%,2021,2024,R32,1,0.94,3.7%,3.7%,79.6%,51.2%,40.9%,49.1%,48.1%,43.8%,46.2%
Fed Cup,1,,2,2,0,100.0%,0,0,0,-,2020,2020,,2,1.14,9.2%,3.3%,63.4%,73.2%,48.2%,64.1%,41.1%,63.6%,69.2%
Miami,7,Hard,17,10,7,58.8%,6,2,4,33.3%,2019,2026,SF,17,1.04,8.4%,7.3%,60.1%,72.0%,46.0%,61.6%,40.0%,63.7%,39.4%
Indian Wells,6,Hard,9,3,6,33.3%,1,1,0,100.0%,2019,2026,R32,9,0.87,5.2%,10.6%,54.5%,63.7%,39.5%,52.7%,41.2%,44.3%,34.1%
Dubai,4,Hard,4,0,4,0.0%,3,0,3,0.0%,2021,2026,R32,4,0.91,2.0%,6.3%,61.4%,63.4%,41.9%,55.1%,41.0%,52.5%,50.0%
Doha,7,Hard,16,9,7,56.3%,3,2,1,66.7%,2017,2026,SF,16,1.03,6.0%,5.0%,62.7%,67.3%,43.6%,58.5%,42.9%,55.8%,37.8%
Abu Dhabi,2,Hard,7,5,2,71.4%,5,2,3,40.0%,2021,2026,F,7,1.01,3.7%,5.2%,58.7%,65.5%,48.7%,58.6%,41.9%,56.1%,37.1%
Adelaide,3,Hard,7,4,3,57.1%,3,1,2,33.3%,2024,2026,SF,7,1.00,6.4%,6.7%,62.7%,63.9%,40.8%,55.3%,44.8%,60.0%,50.8%
