Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,45,19,26,42.2%,47-58,44.8%,449-511,46.8%,6-3,66.7%,42,57.5%,37.3%,3.0%,6.7%,61.5%,60.5%,41.0%,53.0%,44.7%,48.9%,0.95
Clay,21,11,10,52.4%,27-24,52.9%,241-208,53.7%,2-2,50.0%,17,63.9%,41.2%,2.4%,7.7%,58.2%,63.6%,43.7%,55.3%,46.1%,50.7%,1.03
Grass,9,4,5,44.4%,9-12,42.9%,93-105,47.0%,2-2,50.0%,9,61.9%,32.0%,3.2%,6.3%,63.4%,62.5%,42.5%,55.2%,41.2%,48.0%,0.92
Grand Slams,8,3,5,37.5%,8-10,44.4%,80-88,47.6%,1-1,50.0%,8,54.3%,40.0%,2.3%,8.1%,58.2%,59.8%,38.4%,50.8%,45.8%,48.4%,0.93
Premiers,7,4,3,57.1%,8-6,57.1%,64-65,49.6%,0-0,-,7,61.5%,37.5%,2.4%,6.9%,57.5%,64.3%,41.0%,54.4%,44.2%,49.3%,0.97
Internationals,39,19,20,48.7%,47-47,50.0%,428-431,49.8%,7-4,63.6%,37,61.4%,39.9%,3.3%,6.4%,62.2%,61.9%,42.6%,54.6%,45.3%,50.0%,1.00
Finals,1,1,0,100.0%,2-0,100.0%,12-4,75.0%,0-0,-,1,75.0%,75.0%,11.4%,6.8%,61.4%,77.8%,35.3%,61.4%,63.8%,62.6%,1.65
Semi-finals,2,1,1,50.0%,2-2,50.0%,20-18,52.6%,0-0,-,2,73.7%,31.6%,3.5%,4.3%,67.8%,69.2%,45.9%,61.7%,41.5%,51.0%,1.09
Quarter-finals,6,2,4,33.3%,6-9,40.0%,65-76,46.1%,1-1,50.0%,6,52.9%,39.1%,3.0%,5.7%,58.6%,56.3%,42.5%,50.6%,44.3%,47.4%,0.90
vs Righties,67,31,36,46.3%,75-85,46.9%,707-747,48.6%,8-7,53.3%,59,59.9%,36.8%,3.0%,7.0%,60.5%,62.0%,41.0%,53.7%,44.5%,49.1%,0.96
vs Lefties,8,5,3,62.5%,12-8,60.0%,96-88,52.2%,1-0,100.0%,8,62.6%,41.3%,2.1%,6.0%,63.7%,60.4%,49.5%,56.4%,45.0%,50.6%,1.03
vs Top 10,3,0,3,0.0%,1-6,14.3%,22-40,35.5%,0-0,-,2,54.5%,21.7%,3.3%,9.2%,58.6%,61.8%,36.5%,51.3%,38.4%,44.9%,0.79
