Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2019,2,0,2,0.0%,0-2,0.0%,6-12,33.3%,0-0,-,0,,,,,,,,,,,,R32 (2x)
2017,6,1,5,16.7%,3-11,21.4%,46-75,38.0%,0-0,-,0,,,,,,,,,,,,R16 (Sharm El Sheikh $15K)
2016,5,1,4,20.0%,2-9,18.2%,34-63,35.1%,0-1,0.0%,0,,,,,,,,,,,,R16 (Iizuka $25K)
2014,10,6,4,60.0%,13-11,54.2%,113-108,51.1%,1-0,100.0%,0,,,,,,,,,,,,QF (2x)
2013,9,3,6,33.3%,5-14,26.3%,76-105,42.0%,1-1,50.0%,0,,,,,,,,,,,,QF (Sharm El Sheikh 10K)
2012,3,0,3,0.0%,2-6,25.0%,38-48,44.2%,1-1,50.0%,0,,,,,,,,,,,,R32 (3x)
2011,3,0,3,0.0%,1-5,16.7%,29-38,43.3%,1-2,33.3%,0,,,,,,,,,,,,R32 (3x)
2010,21,7,14,33.3%,16-34,32.0%,176-242,42.1%,1-2,33.3%,0,,,,,,,,,,,,QF (Noto 25K)
2009,40,19,21,47.5%,46-52,46.9%,445-460,49.2%,4-9,30.8%,0,,,,,,,,,,,,F (Noto 25K)
2008,30,9,21,30.0%,22-45,32.8%,272-362,42.9%,4-3,57.1%,0,,,,,,,,,,,,SF (Nagano 25K)
2007,41,20,21,48.8%,45-48,48.4%,414-431,49.0%,4-1,80.0%,0,,,,,,,,,,,,QF (9x)
2006,44,28,16,63.6%,58-40,59.2%,467-426,52.3%,4-3,57.1%,0,,,,,,,,,,,,W (2x)
2005,39,22,17,56.4%,49-40,55.1%,447-414,51.9%,5-4,55.6%,0,,,,,,,,,,,,F (3x)
2004,49,28,21,57.1%,63-47,57.3%,536-485,52.5%,8-6,57.1%,0,,,,,,,,,,,,F (Ibaraki 25K)
2003,38,19,19,50.0%,46-42,52.3%,430-393,52.2%,6-5,54.5%,0,,,,,,,,,,,,F (Ho Chi Minh City 25K)
2002,24,7,17,29.2%,19-37,33.9%,219-281,43.8%,2-2,50.0%,0,,,,,,,,,,,,QF (2x)
2001,30,16,14,53.3%,37-37,50.0%,341-350,49.3%,5-3,62.5%,0,,,,,,,,,,,,W (Kugayama 10K)
2000,37,19,18,51.4%,41-41,50.0%,372-359,50.9%,2-4,33.3%,0,,,,,,,,,,,,W (Ibaraki 10K)
1999,19,7,12,36.8%,14-26,35.0%,156-198,44.1%,3-2,60.0%,0,,,,,,,,,,,,F (Seoul 25K)
1998,24,13,11,54.2%,24-26,48.0%,220-218,50.2%,4-1,80.0%,0,,,,,,,,,,,,SF (2x)
1997,1,0,1,0.0%,0-2,0.0%,10-14,41.7%,0-0,-,0,,,,,,,,,,,,R32 (Gifu 50K)
1995,1,0,1,0.0%,0-2,0.0%,5-12,29.4%,0-0,-,0,,,,,,,,,,,,R32 (ITF Kugayama)
1994,1,0,1,0.0%,0-2,0.0%,9-13,40.9%,0-0,-,0,,,,,,,,,,,,R32 (ITF Ibaraki)
Career,477,225,252,47.2%,506-579,46.6%,4861-5107,48.8%,56-50,52.8%,0,,,,,,,,,,,,
