Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2014,1070,6,,,,,,,,,,,,
2013,1149,6,,,,,,,,,,,,
2011,1015,10,,,,,,,,,,,,
2010,540,54,,,,,,,,,788,26,,
2009,278,166,,,,,,,,,,,,
2008,435,47,,,,,,,,,,,,
2007,264,102,216,1336,215,1320,,,180,1338,,,,
2006,151,187,212,1397,212,1359,207,1308,171,1390,,,,
2005,203,166,207,1444,206,1391,208,1367,170,1393,,,,
2004,217,147,,,,,,,,,,,,
2003,246,101,,,,,,,,,,,,
2002,299,67,,,,,,,,,,,,
2001,269,83,,,,,,,,,,,,
2000,293,63,,,,,,,,,,,,
1999,290,62,,,,,,,,,,,,
1998,355,40,,,,,,,,,,,,
1997,594,12,,,,,,,,,,,,
1996,1085,1,,,,,,,,,,,,
