Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2020,2,0,2,0.0%,0-4,0.0%,15-24,38.5%,0-0,-,2,73.7%,5.0%,13.7%,10.5%,60.5%,78.7%,34.7%,61.3%,30.5%,45.6%,0.79,R64 (2x)
2019,27,8,19,29.6%,21-38,35.6%,259-312,45.4%,3-5,37.5%,27,72.7%,17.4%,9.2%,5.2%,57.2%,67.5%,48.6%,59.4%,35.0%,47.9%,0.86,R16 (4x)
2018,24,12,12,50.0%,26-29,47.3%,269-283,48.7%,5-4,55.6%,22,78.8%,17.6%,14.0%,4.0%,57.2%,74.7%,49.3%,63.9%,34.5%,49.2%,0.95,W (Cuernavaca)
2017,35,13,22,37.1%,33-52,38.8%,386-453,46.0%,6-8,42.9%,35,75.4%,15.9%,9.4%,4.2%,59.4%,70.5%,47.3%,61.1%,33.8%,47.9%,0.87,SF (2x)
2016,30,13,17,43.3%,32-39,45.1%,327-356,47.9%,4-3,57.1%,30,76.8%,18.5%,9.1%,4.9%,59.2%,70.9%,50.6%,62.6%,35.9%,49.4%,0.96,SF (Cary)
2015,51,29,22,56.9%,68-56,54.8%,638-626,50.5%,14-13,51.9%,51,81.0%,19.2%,9.3%,5.1%,57.7%,73.5%,51.4%,64.2%,35.3%,50.1%,0.98,W (2x)
2014,7,1,6,14.3%,5-12,29.4%,68-87,43.9%,0-1,0.0%,7,74.7%,15.2%,10.4%,5.8%,55.3%,73.3%,47.3%,61.7%,31.6%,47.2%,0.82,R16 (Napa)
2013,4,1,3,25.0%,3-7,30.0%,41-56,42.3%,1-2,33.3%,4,74.5%,10.6%,10.9%,5.6%,57.4%,71.3%,48.1%,61.4%,29.4%,45.8%,0.76,R16 (Aptos)
2010,1,0,1,0.0%,0-2,0.0%,2-12,14.3%,0-0,-,1,28.6%,0.0%,4.3%,4.3%,47.8%,50.0%,33.3%,41.3%,25.6%,33.7%,0.44,R32 (Sacramento)
Career,181,77,104,42.5%,188-239,44.0%,2005-2209,47.6%,33-36,47.8%,179,77.1%,17.4%,9.9%,4.9%,58.1%,71.7%,49.3%,62.3%,34.6%,48.8%,0.92,
