Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2024,,,,,,,,,,,809,49,,
2022,1383,3,,,,,,,,,,,,
2021,975,13,,,,,,,,,,,,
2020,759,24,,,,,,,,,162,464,,
2019,559,46,388,1343,377,1314,381,1287,,,165,421,,
2018,257,168,283,1434,262,1400,294,1363,184,1446,325,115,,
2017,231,224,237,1500,239,1438,243,1418,134,1514,212,299,,
2016,169,343,219,1511,209,1472,274,1377,150,1501,149,503,,
2015,150,387,172,1573,155,1547,251,1410,182,1468,179,415,,
2014,291,168,,,,,,,,,425,138,,
2013,635,40,,,,,,,,,1225,16,,
2012,555,50,,,,,,,,,486,114,,
2011,968,8,,,,,,,,,1096,18,,
2010,1705,1,,,,,,,,,1018,18,,
