Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2017,362,116,,,,,,,,,660,50,,
2015,650,31,,,,,,,,,,,,
2014,139,397,65,1772,56,1731,78,1653,63,1622,86,911,,
2013,188,335,,,,,,,,,406,132,,
2012,545,50,,,,,,,,,,,,
2011,68,923,29,1919,23,1880,35,1799,,,76,1111,,
2010,25,2250,23,1964,19,1913,32,1824,19,1785,42,2015,,
2009,29,1870,24,1920,22,1869,34,1797,24,1757,,,,
2008,32,844,38,1854,43,1776,43,1745,19,1768,,,,
2007,156,216,115,1648,129,1580,92,1610,,,,,,
2006,240,108,171,1571,166,1527,167,1501,,,,,,
2005,237,132,,,,,,,,,,,,
2004,368,55,,,,,,,,,,,,
2003,637,15,,,,,,,,,,,,
