Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,12,Hard,23,11,12,47.8%,5,5,0,100.0%,2010,2022,R32,20,0.96,0.9%,4.5%,67.4%,57.2%,44.2%,53.0%,45.1%,47.6%,45.4%
Roland Garros,12,Clay,29,17,12,58.6%,3,3,0,100.0%,2010,2021,R64,25,0.95,1.0%,2.6%,70.9%,55.9%,45.0%,52.7%,44.8%,59.1%,46.4%
Wimbledon,11,Grass,21,10,11,47.6%,6,2,4,33.3%,2010,2021,R64,9,0.86,0.1%,3.3%,68.6%,55.4%,44.1%,51.9%,41.2%,56.3%,43.3%
US Open,11,Hard,24,13,11,54.2%,6,4,2,66.7%,2011,2021,R32,17,0.98,0.7%,3.6%,70.8%,57.3%,44.1%,53.4%,45.6%,42.9%,54.2%
Fed Cup,7,,16,10,6,62.5%,5,3,2,60.0%,2012,2020,,7,1.16,1.4%,1.9%,71.4%,61.2%,47.5%,57.3%,49.4%,50.0%,42.6%
Tokyo,9,Hard,16,6,10,37.5%,2,1,1,50.0%,2008,2022,R16,11,0.96,0.5%,2.5%,71.9%,54.6%,44.1%,51.7%,46.6%,55.7%,46.7%
Auckland,9,Hard,17,8,9,47.1%,4,0,4,0.0%,2010,2020,QF,16,0.97,1.3%,3.8%,70.0%,59.7%,41.7%,54.3%,44.4%,59.3%,50.9%
Birmingham,8,Grass,12,4,8,33.3%,2,0,2,0.0%,2010,2021,R64,12,0.89,1.3%,2.9%,69.2%,56.2%,49.6%,54.1%,41.0%,53.8%,43.6%
Indian Wells,6,Hard,13,7,6,53.8%,1,1,0,100.0%,2014,2021,R32,13,1.03,0.6%,3.5%,69.7%,55.3%,47.1%,52.8%,48.7%,51.8%,50.8%
Cincinnati,6,Hard,12,6,6,50.0%,2,1,1,50.0%,2010,2018,R32,9,0.95,0.5%,4.5%,67.8%,56.1%,43.7%,52.1%,45.4%,55.9%,50.0%
Osaka,6,Hard,11,5,6,45.5%,5,4,1,80.0%,2009,2019,SF,11,0.89,0.9%,3.3%,69.4%,56.3%,44.7%,52.7%,42.3%,46.2%,50.7%
