Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2021,5,3,2,60.0%,7-5,58.3%,56-51,52.3%,0-1,0.0%,5,68.5%,36.5%,0.8%,2.3%,73.9%,58.8%,49.0%,56.3%,44.6%,50.9%,1.02,R16 (Charleston 1)
2020,2,0,2,0.0%,0-4,0.0%,5-24,17.2%,0-0,-,2,26.7%,7.1%,0.0%,3.1%,71.1%,43.5%,28.6%,39.2%,34.1%,36.8%,0.56,
2019,7,4,3,57.1%,8-6,57.1%,74-69,51.7%,1-1,50.0%,7,58.9%,41.7%,1.0%,3.5%,71.4%,57.2%,43.2%,53.2%,45.7%,49.6%,0.98,R16 (2x)
2018,19,4,15,21.1%,14-30,31.8%,188-223,45.7%,2-1,66.7%,19,59.2%,32.5%,0.9%,4.0%,66.2%,58.9%,44.3%,54.0%,43.6%,48.8%,0.95,
2017,28,11,17,39.3%,27-37,42.2%,271-306,47.0%,1-2,33.3%,28,52.2%,41.2%,0.7%,3.7%,67.3%,55.3%,43.5%,51.5%,46.1%,48.8%,0.95,QF (Tashkent)
2016,35,16,19,45.7%,33-39,45.8%,325-341,48.8%,2-5,28.6%,32,61.5%,37.6%,0.8%,3.5%,69.9%,57.1%,47.6%,54.2%,45.1%,49.7%,0.99,QF (3x)
2015,44,21,23,47.7%,49-56,46.7%,471-510,48.0%,9-5,64.3%,31,62.3%,31.0%,0.5%,3.2%,73.4%,57.9%,49.7%,55.7%,39.9%,48.2%,0.90,SF (Hobart)
2014,46,24,22,52.2%,50-52,49.0%,457-468,49.4%,5-5,50.0%,40,-,-,0.5%,2.8%,74.4%,54.3%,46.6%,52.3%,45.1%,48.8%,0.95,W (Rio de Janeiro)
2013,11,5,6,45.5%,12-13,48.0%,121-121,50.0%,3-1,75.0%,11,-,-,1.1%,2.2%,73.7%,56.6%,49.3%,54.7%,45.4%,50.0%,1.00,SF (Osaka)
2012,6,2,4,33.3%,5-8,38.5%,53-68,43.8%,0-1,0.0%,4,-,-,1.5%,1.9%,69.6%,53.6%,41.3%,49.8%,42.8%,46.3%,0.85,R16 (Kuala Lumpur)
2011,5,1,4,20.0%,3-8,27.3%,35-58,37.6%,0-1,0.0%,5,-,-,0.0%,5.9%,66.8%,53.0%,38.3%,48.1%,39.7%,44.2%,0.77,R16 (Kuala Lumpur)
2010,8,1,7,12.5%,4-14,22.2%,56-101,35.7%,1-0,100.0%,6,-,-,0.2%,7.7%,59.5%,49.0%,35.4%,43.5%,40.8%,42.2%,0.72,R32 (4x)
2009,2,1,1,50.0%,2-3,40.0%,19-26,42.2%,1-0,100.0%,2,-,-,0.0%,8.1%,67.6%,56.0%,27.1%,46.6%,45.7%,46.2%,0.86,R16 (Osaka)
Career,218,93,125,42.7%,214-275,43.8%,2131-2366,47.4%,25-23,52.1%,192,59.3%,35.6%,0.7%,3.5%,70.7%,56.1%,45.4%,53.0%,43.9%,48.6%,0.93,
