Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,52,19,33,36.5%,46-69,40.0%,492-578,46.0%,4-8,33.3%,48,63.1%,28.5%,4.1%,6.3%,57.6%,62.1%,46.8%,55.6%,40.8%,48.1%,0.92
Clay,14,4,10,28.6%,11-22,33.3%,138-171,44.7%,1-2,33.3%,14,53.2%,34.8%,4.2%,7.1%,57.6%,60.5%,38.8%,51.3%,43.9%,47.6%,0.90
Grass,7,3,4,42.9%,8-8,50.0%,85-86,49.7%,2-2,50.0%,7,74.1%,24.4%,7.2%,7.3%,57.6%,66.2%,49.4%,59.1%,39.0%,49.5%,0.95
Grand Slams,10,1,9,10.0%,3-17,15.0%,74-119,38.3%,1-2,33.3%,10,56.1%,19.4%,3.2%,7.2%,57.1%,57.5%,44.6%,52.0%,37.2%,44.8%,0.77
Premiers,6,3,3,50.0%,6-5,54.5%,56-50,52.8%,0-1,0.0%,5,65.4%,41.5%,2.8%,4.7%,59.9%,60.8%,48.3%,55.8%,45.4%,50.6%,1.03
Internationals,43,19,24,44.2%,48-55,46.6%,480-505,48.7%,6-8,42.9%,43,66.5%,31.2%,5.3%,6.9%,56.8%,65.2%,45.8%,56.8%,42.2%,49.4%,0.98
Semi-finals,2,0,2,0.0%,1-4,20.0%,18-31,36.7%,1-0,100.0%,2,58.3%,12.5%,5.1%,8.2%,58.9%,64.5%,40.0%,54.4%,35.3%,44.4%,0.77
Quarter-finals,7,2,5,28.6%,7-11,38.9%,84-95,46.9%,0-2,0.0%,7,67.0%,28.1%,5.3%,5.4%,55.9%,63.8%,47.8%,56.7%,41.2%,49.1%,0.95
vs Righties,66,25,41,37.9%,60-87,40.8%,646-750,46.3%,7-12,36.8%,62,62.2%,29.8%,4.3%,6.6%,57.3%,61.8%,45.8%,55.0%,41.4%,48.1%,0.92
vs Lefties,6,1,5,16.7%,5-10,33.3%,63-73,46.3%,0-0,-,6,64.2%,27.3%,6.3%,5.9%,60.5%,65.3%,44.0%,56.9%,41.0%,49.1%,0.95
vs Top 10,2,0,2,0.0%,1-2,33.3%,11-18,37.9%,1-0,100.0%,1,53.3%,21.4%,1.0%,4.0%,59.6%,50.8%,45.0%,48.5%,38.3%,43.5%,0.74
