Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2025-06-30),2105,1,,,,,,,,,,,,
2024,1324,5,,,,,,,,,,,,
2022,1086,8,,,,,,,,,,,,
2021,735,30,,,,,,,,,,,,
2020,598,43,,,,,,,,,736,46,,
2019,414,82,297,1441,243,1453,333,1339,,,580,61,,
2018,238,202,261,1467,200,1484,280,1375,229,1367,326,111,,
2017,156,349,200,1541,179,1509,189,1490,193,1431,773,50,,
2016,354,130,351,1303,312,1327,331,1262,,,807,51,,
2015,326,147,,,,,,,,,804,53,,
2014,389,108,,,,,,,,,833,43,,
2013,698,32,,,,,,,,,682,66,,
2012,435,84,,,,,,,,,844,36,,
2011,423,88,,,,,,,,,442,126,,
2010,575,41,,,,,,,,,857,32,,
2009,1092,6,,,,,,,,,1183,12,,
2008,1665,1,,,,,,,,,,,,
