Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,32,7,25,21.9%,21-56,27.3%,296-429,40.8%,1-8,11.1%,32,64.0%,18.1%,2.7%,2.9%,64.6%,61.4%,46.8%,56.2%,34.2%,45.6%,0.78
Clay,59,28,31,47.5%,67-79,45.9%,675-702,49.0%,5-10,33.3%,59,65.7%,32.5%,2.6%,2.5%,66.7%,61.8%,47.4%,57.0%,41.6%,49.4%,0.97
Grass,6,0,6,0.0%,5-15,25.0%,90-120,42.9%,3-2,60.0%,6,78.4%,7.5%,2.1%,3.0%,62.9%,66.5%,54.3%,62.0%,29.4%,45.8%,0.77
Grand Slams,16,5,11,31.3%,24-38,38.7%,277-328,45.8%,5-6,45.5%,16,71.3%,20.8%,3.0%,2.2%,68.4%,63.3%,53.5%,60.2%,36.9%,48.1%,0.93
Masters,13,4,9,30.8%,10-19,34.5%,118-150,44.0%,1-3,25.0%,13,62.5%,24.4%,2.1%,2.6%,67.2%,60.4%,45.0%,55.3%,38.0%,47.2%,0.85
Other Tours,66,25,41,37.9%,57-91,38.5%,645-752,46.2%,3-11,21.4%,66,64.6%,28.1%,2.5%,2.9%,64.3%,61.6%,46.4%,56.2%,39.0%,47.9%,0.89
Best of 5,16,5,11,31.3%,24-38,38.7%,277-328,45.8%,5-6,45.5%,16,71.3%,20.8%,3.0%,2.2%,68.4%,63.3%,53.5%,60.2%,36.9%,48.1%,0.93
Best of 3,81,30,51,37.0%,69-112,38.1%,784-923,45.9%,4-14,22.2%,81,64.5%,27.4%,2.4%,2.9%,64.8%,61.6%,46.2%,56.2%,38.8%,47.9%,0.89
Semi-finals,2,0,2,0.0%,1-4,20.0%,18-28,39.1%,0-1,0.0%,2,65.2%,13.6%,3.9%,2.0%,58.8%,67.8%,44.4%,58.2%,29.5%,44.9%,0.71
Quarter-finals,4,2,2,50.0%,4-6,40.0%,48-53,47.5%,0-1,0.0%,4,76.5%,18.4%,2.7%,1.2%,65.1%,67.3%,50.0%,61.2%,35.3%,48.6%,0.91
vs Righties,87,32,55,36.8%,85-133,39.0%,949-1113,46.0%,8-17,32.0%,87,65.7%,26.3%,2.3%,2.6%,65.6%,61.9%,47.5%,56.9%,38.6%,48.0%,0.90
vs Lefties,9,2,7,22.2%,7-17,29.2%,106-134,44.2%,1-3,25.0%,9,71.7%,17.1%,4.5%,3.5%,66.0%,63.9%,51.5%,59.7%,33.7%,47.1%,0.83
vs Top 10,7,0,7,0.0%,2-16,11.1%,61-108,36.1%,0-2,0.0%,7,54.8%,18.1%,1.6%,2.7%,72.0%,57.5%,39.2%,52.4%,34.7%,43.8%,0.73
