Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2026 Australian Open R128,W vs Mannarino,24.7%,38.2%,59.4%,33.7%,33.9%,51.8%,64.9%,48.2%,52.0%,45.2%,50.0%,10.0%,16.7%,51.9%,-18
2025 Miami R64,L vs Djokovic,19.0%,30.2%,48.0%,25.7%,25.6%,39.5%,56.3%,35.3%,59.1%,66.7%,60.0%,5.3%,10.5%,33.3%,-63
2024 Brisbane R32,L vs Djokovic,31.5%,40.7%,36.1%,36.3%,40.5%,51.4%,31.8%,47.6%,38.9%,42.1%,0.0%,12.5%,18.8%,42.9%,10
2024 Newport R32,L vs Mcdonald,11.6%,30.5%,47.5%,21.6%,14.8%,38.9%,52.2%,32.4%,67.9%,42.3%,0.0%,8.1%,21.6%,41.2%,-38
2024 Queens Club QF,L vs Korda,28.1%,39.3%,45.9%,33.4%,37.0%,52.2%,62.1%,47.2%,66.7%,42.9%,50.0%,20.0%,27.5%,31.3%,27
2024 Australian Open R128,L vs Struff,35.4%,47.0%,46.0%,41.0%,50.5%,66.3%,53.2%,60.3%,41.5%,57.4%,50.0%,15.9%,22.2%,39.6%,41
2024 Brisbane QF,L vs Dimitrov,22.8%,42.1%,45.0%,31.8%,32.4%,58.8%,52.2%,47.4%,31.3%,55.6%,50.0%,10.5%,21.1%,35.3%,-22
2024 Brisbane R16,W vs Machac,25.0%,33.7%,53.6%,30.1%,32.8%,43.8%,53.5%,41.1%,55.2%,57.1%,71.4%,16.1%,22.6%,53.8%,39
2024 Brisbane R32,W vs Kokkinakis,31.3%,49.3%,62.2%,39.0%,46.2%,69.2%,71.4%,59.2%,38.9%,52.4%,-,11.1%,22.2%,54.2%,-25
2023 US Open R16,L vs Tiafoe,12.4%,27.0%,45.9%,20.9%,18.2%,36.4%,47.2%,35.5%,52.4%,47.8%,25.0%,7.3%,19.5%,44.7%,-45
2023 US Open R32,W vs Zhang,23.3%,35.8%,51.7%,32.4%,32.9%,48.6%,57.4%,48.4%,42.9%,48.6%,33.3%,11.1%,20.0%,45.0%,-8
2023 Cary CH QF,L vs Walton,15.7%,35.3%,45.2%,25.9%,20.0%,46.7%,62.5%,37.3%,62.5%,71.4%,100.0%,10.0%,20.0%,22.2%,-13
2023 Australian Open R64,L vs Tsitsipas,23.2%,30.4%,32.6%,27.0%,26.5%,35.3%,32.0%,32.6%,55.0%,50.0%,50.0%,18.2%,22.7%,33.3%,-79
2022 Los Cabos R16,L vs Medvedev,19.7%,27.9%,53.2%,23.8%,32.1%,50.0%,68.4%,41.1%,56.3%,58.3%,0.0%,9.7%,9.7%,42.9%,-18
Career (14 matches),,23.9%,36.8%,48.6%,31.0%,33.1%,50.1%,54.5%,45.3%,51.1%,52.1%,45.0%,12.2%,20.2%,41.6%,6
