Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,17,8,9,47.1%,19-23,45.2%,195-215,47.6%,4-4,50.0%,17,76.4%,18.1%,6.7%,3.3%,60.7%,71.1%,49.6%,62.6%,34.0%,48.7%,0.91
Clay,6,0,6,0.0%,4-11,26.7%,67-80,45.6%,0-1,0.0%,4,76.3%,13.3%,2.3%,3.1%,60.5%,66.5%,52.0%,60.8%,33.2%,47.2%,0.85
Grass,4,1,3,25.0%,5-7,41.7%,55-55,50.0%,0-0,-,4,76.8%,22.2%,4.8%,2.4%,59.8%,67.3%,57.5%,63.4%,37.3%,50.2%,1.02
Grand Slams,6,2,4,33.3%,8-12,40.0%,84-92,47.7%,0-1,0.0%,6,77.3%,18.4%,4.2%,3.6%,63.4%,69.5%,51.7%,63.0%,33.7%,49.1%,0.91
Masters,6,3,3,50.0%,7-8,46.7%,76-80,48.7%,2-1,66.7%,6,83.1%,13.2%,7.1%,3.0%,59.1%,71.5%,55.7%,65.0%,35.0%,49.6%,1.00
Other Tours,14,4,10,28.6%,12-19,38.7%,143-165,46.4%,2-3,40.0%,13,72.5%,20.0%,5.6%,2.8%,59.6%,68.7%,49.0%,60.8%,34.4%,48.0%,0.88
Best of 5,6,2,4,33.3%,8-12,40.0%,84-92,47.7%,0-1,0.0%,6,77.3%,18.4%,4.2%,3.6%,63.4%,69.5%,51.7%,63.0%,33.7%,49.1%,0.91
Best of 3,21,7,14,33.3%,20-29,40.8%,233-258,47.5%,4-4,50.0%,19,76.1%,17.7%,6.1%,2.9%,59.5%,69.6%,51.3%,62.2%,34.6%,48.5%,0.91
vs Righties,22,8,14,36.4%,24-32,42.9%,261-283,48.0%,4-4,50.0%,20,78.1%,17.0%,6.0%,3.1%,60.6%,69.9%,53.0%,63.2%,33.6%,48.7%,0.91
vs Lefties,5,1,4,20.0%,4-9,30.8%,56-67,45.5%,0-1,0.0%,5,69.4%,21.7%,4.0%,3.2%,60.4%,68.4%,45.0%,59.2%,37.4%,48.5%,0.92
vs Top 10,2,1,1,50.0%,2-4,33.3%,30-35,46.2%,1-1,50.0%,2,87.5%,3.2%,4.7%,2.3%,66.2%,69.5%,55.6%,64.8%,30.8%,47.8%,0.88
