Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,7,Hard,11,4,7,36.4%,6,4,2,66.7%,2019,2026,R64,11,0.92,7.4%,3.4%,60.3%,70.8%,47.2%,61.4%,35.4%,61.4%,31.7%
Roland Garros,3,Clay,3,0,3,0.0%,2,0,2,0.0%,2023,2025,R128,3,0.69,1.3%,3.3%,60.0%,69.9%,44.3%,59.7%,27.9%,76.2%,57.1%
Wimbledon,4,Grass,8,4,4,50.0%,5,2,3,40.0%,2022,2025,R64,8,1.01,6.4%,2.8%,60.9%,73.1%,52.3%,65.0%,35.3%,75.0%,39.3%
US Open,4,Hard,8,4,4,50.0%,2,1,1,50.0%,2022,2025,R16,8,0.91,5.1%,4.7%,56.4%,67.6%,44.2%,57.4%,39.0%,50.6%,43.8%
Olympics,1,,1,0,1,0.0%,0,0,0,-,2024,2024,R64,1,0.49,0.0%,0.0%,60.9%,32.1%,44.4%,37.0%,30.8%,40.0%,100.0%
Davis Cup,1,,1,0,1,0.0%,0,0,0,-,2026,2026,,0,,,,,,,,,,
Miami Masters,4,Hard,6,2,4,33.3%,3,1,2,33.3%,2023,2026,R64,6,0.98,4.5%,3.4%,60.9%,68.9%,56.1%,63.9%,35.4%,61.0%,29.5%
Indian Wells Masters,4,Hard,13,9,4,69.2%,3,2,1,66.7%,2023,2026,R16,13,1.07,6.9%,4.0%,59.0%,69.1%,52.9%,62.5%,40.2%,54.3%,38.2%
Acapulco,3,Hard,6,2,4,33.3%,4,1,3,25.0%,2024,2026,R32,6,0.87,3.4%,4.2%,54.7%,63.0%,45.1%,54.9%,39.4%,57.4%,46.2%
Delray Beach,4,Hard,8,4,4,50.0%,1,1,0,100.0%,2023,2026,QF,8,0.92,5.7%,2.8%,61.2%,65.8%,50.2%,59.7%,37.1%,61.9%,33.9%
Adelaide,3,Hard,8,4,4,50.0%,2,1,1,50.0%,2024,2026,QF,8,1.04,7.0%,5.3%,59.7%,71.6%,53.8%,64.4%,37.1%,69.4%,43.2%
Brisbane,2,Hard,8,5,3,62.5%,4,2,2,50.0%,2024,2026,QF,7,0.95,9.6%,2.9%,64.1%,72.3%,53.3%,65.4%,32.9%,72.5%,45.5%
