Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,28,15,13,53.6%,35-29,54.7%,309-292,51.4%,5-2,71.4%,28,65.6%,37.3%,2.4%,6.5%,63.5%,64.3%,43.2%,56.6%,44.4%,50.5%,1.02
Clay,4,0,4,0.0%,4-8,33.3%,41-61,40.2%,0-0,-,4,46.2%,34.0%,1.5%,8.2%,58.2%,60.1%,34.5%,49.4%,44.8%,47.1%,0.89
Grass,7,3,4,42.9%,6-9,40.0%,67-75,47.2%,1-1,50.0%,7,66.2%,27.5%,3.9%,6.9%,60.7%,66.8%,44.2%,57.9%,39.4%,48.8%,0.94
Grand Slams,6,2,4,33.3%,5-9,35.7%,56-67,45.5%,0-0,-,6,57.4%,33.9%,3.5%,8.1%,60.5%,61.6%,40.0%,53.1%,43.1%,48.0%,0.92
Premiers,11,6,5,54.5%,14-10,58.3%,124-102,54.9%,2-2,50.0%,11,70.0%,40.2%,3.0%,5.7%,62.6%,66.1%,47.5%,59.2%,46.0%,52.7%,1.13
Internationals,5,2,3,40.0%,6-6,50.0%,50-59,45.9%,1-0,100.0%,5,57.4%,33.3%,2.7%,11.3%,57.1%,64.6%,37.1%,52.8%,43.6%,48.3%,0.93
Semi-finals,1,0,1,0.0%,0-2,0.0%,6-12,33.3%,0-0,-,1,44.4%,22.2%,0.0%,3.8%,67.5%,51.9%,46.2%,50.0%,43.3%,46.9%,0.87
Quarter-finals,3,1,2,33.3%,4-4,50.0%,33-36,47.8%,0-0,-,3,61.8%,34.3%,1.8%,9.7%,58.4%,66.7%,35.1%,53.5%,42.5%,48.1%,0.91
vs Righties,33,15,18,45.5%,36-39,48.0%,334-352,48.7%,5-2,71.4%,33,62.2%,35.0%,2.6%,6.9%,61.8%,63.4%,42.5%,55.4%,43.5%,49.5%,0.98
vs Lefties,5,2,3,40.0%,7-7,50.0%,71-72,49.7%,1-1,50.0%,5,64.3%,35.2%,1.9%,6.7%,63.7%,66.0%,40.5%,56.7%,43.7%,50.1%,1.01
vs Top 10,6,2,4,33.3%,5-9,35.7%,54-71,43.2%,1-0,100.0%,6,60.0%,25.8%,2.8%,5.9%,61.1%,62.2%,42.4%,54.5%,40.1%,47.2%,0.88
