Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2026 Indian Wells R32,W vs Andreeva,60% (9/15),44% (7/16),2/2,1/1,73% (19/26),1/2,0/0,83% (5/6),33% (2/6)
2025 Wuhan QF,L vs Pegula,50% (7/14),29% (2/7),1/1,0/0,17% (1/6),0/2,0/1,- (0/0),- (0/0)
2025 Seoul SF,L vs Alexandrova,25% (4/16),29% (2/7),0/0,0/0,50% (5/10),0/2,0/1,- (0/0),- (0/0)
2025 s Hertogenbosch R32,L vs Blinkova,29% (2/7),67% (2/3),0/0,0/0,40% (4/10),2/4,1/2,- (0/0),- (0/0)
2025 Linz R32,L vs Avanesyan,44% (4/9),50% (1/2),0/0,0/0,56% (5/9),0/2,0/1,- (0/0),- (0/0)
2025 Australian Open R128,L vs Swiatek,63% (5/8),67% (2/3),0/0,0/0,20% (1/5),0/2,0/1,- (0/0),- (0/0)
2024 Wuhan R32,L vs Sabalenka,60% (6/10),25% (2/8),0/0,0/0,67% (8/12),2/4,1/2,- (0/0),- (0/0)
2024 US Open R128,L vs Keys,50% (4/8),50% (1/2),0/0,0/0,50% (5/10),1/3,0/1,- (0/0),- (0/0)
2024 Cleveland R32,W vs Ishii,57% (12/21),50% (6/12),2/3,1/1,64% (9/14),6/7,3/3,67% (8/12),33% (4/12)
2024 Wimbledon R64,L vs Putintseva,88% (7/8),14% (1/7),1/1,0/0,29% (2/7),2/4,2/3,- (0/0),- (0/0)
2024 Wimbledon R128,W vs Stakusic,67% (8/12),17% (4/24),2/2,1/1,89% (8/9),0/0,0/0,- (0/0),- (0/0)
2024 Berlin R32,W vs Navarro,53% (8/15),57% (4/7),2/5,1/1,50% (1/2),0/0,0/0,- (0/0),- (0/0)
2024 Strasbourg R16,L vs Collins,50% (3/6),0% (0/4),0/0,0/0,33% (2/6),1/3,0/1,- (0/0),- (0/0)
2023 Nanchang F,W vs Bouzkova,44% (7/16),46% (6/13),2/9,1/1,33% (4/12),3/4,3/3,67% (8/12),55% (6/11)
2023 Hong Kong F,L vs Fernandez,69% (9/13),28% (5/18),1/1,0/0,64% (9/14),1/3,1/2,- (0/0),- (0/0)
2023 US Open R128,L vs Kalinskaya,50% (3/6),60% (3/5),0/0,0/0,33% (3/9),0/2,0/1,- (0/0),- (0/0)
2023 Wimbledon R64,L vs Tsurenko,33% (2/6),50% (3/6),0/0,0/0,50% (6/12),1/3,1/2,- (0/0),- (0/0)
2023 Wimbledon R128,W vs Zheng,54% (7/13),43% (6/14),2/4,1/2,20% (1/5),0/0,0/0,- (0/0),- (0/0)
2023 Bad Homburg F,W vs Bronzetti,58% (7/12),56% (5/9),2/5,1/4,25% (1/4),0/0,0/0,83% (5/6),33% (2/6)
2023 Roland Garros R128,L vs Stearns,50% (3/6),63% (5/8),0/0,0/0,30% (3/10),2/4,0/1,50% (4/8),38% (3/8)
2026 (1 matches),,60.0%,43.8%,100.0%,100.0%,73.1%,50.0%,-,83.3%,33.3%
2025 (5 matches),,40.7%,40.9%,100.0%,-,40.0%,16.7%,16.7%,-,-
2024 (7 matches),,60.0%,28.1%,63.6%,100.0%,58.3%,57.1%,60.0%,66.7%,33.3%
2023 (8 matches),,54.5%,44.2%,36.8%,42.9%,39.4%,54.2%,68.8%,65.4%,44.0%
2022 (9 matches),,59.8%,55.4%,61.9%,83.3%,52.4%,59.3%,42.9%,62.5%,53.3%
Career (270 matches),,57.5%,46.4%,56.6%,57.4%,53.0%,47.7%,48.9%,57.6%,48.8%
