Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2026 Indian Wells R32,W vs Andreeva,2.3%,66.7%,13.2%,59.4%,12.3%,17.5%,0.0%,11.1%,24.3%,1.2%,0.0%,-32,-48
2025 Wuhan QF,L vs Pegula,1.5%,100.0%,10.5%,57.1%,5.0%,9.4%,0.0%,5.1%,12.5%,0.7%,0.0%,8,13
2025 Seoul SF,L vs Alexandrova,1.3%,0.0%,4.1%,33.3%,4.7%,4.5%,0.0%,11.6%,13.6%,2.6%,28.6%,-12,-27
2025 s Hertogenbosch R32,L vs Blinkova,3.8%,50.0%,17.8%,61.1%,18.2%,18.8%,0.0%,23.5%,25.0%,2.4%,0.0%,65,70
2025 Linz R32,L vs Avanesyan,0.0%,-,11.3%,66.7%,9.2%,14.3%,0.0%,5.2%,7.1%,3.2%,16.7%,44,51
2025 Australian Open R128,L vs Swiatek,0.0%,-,6.3%,71.4%,13.2%,63.6%,0.0%,15.3%,38.9%,0.6%,0.0%,59,39
2024 Wuhan R32,L vs Sabalenka,0.0%,-,3.6%,60.0%,10.5%,40.0%,0.0%,5.2%,25.0%,1.6%,33.3%,2,36
2024 Cleveland R32,W vs Ishii,0.0%,-,5.2%,83.3%,9.7%,20.8%,0.0%,10.5%,25.0%,2.3%,55.6%,8,36
2024 Berlin R32,W vs Navarro,0.0%,-,6.8%,75.0%,12.5%,5.9%,0.0%,16.9%,37.5%,1.0%,0.0%,23,55
2024 Strasbourg R16,L vs Collins,0.0%,-,10.0%,22.2%,11.1%,0.0%,0.0%,22.6%,40.0%,3.0%,25.0%,53,41
2023 Nanchang F,W vs Bouzkova,0.0%,-,11.1%,61.5%,4.6%,8.4%,0.0%,8.7%,26.9%,1.0%,44.4%,-101,-103
2023 Hong Kong F,L vs Fernandez,0.0%,-,4.5%,55.6%,12.5%,6.9%,33.3%,18.0%,26.5%,0.6%,0.0%,51,43
2023 Bad Homburg F,W vs Bronzetti,0.0%,-,1.6%,50.0%,13.8%,40.0%,0.0%,6.7%,14.3%,0.4%,0.0%,-7,32
2023 Roland Garros R128,L vs Stearns,9.0%,33.3%,8.0%,54.5%,0.0%,0.0%,0.0%,10.9%,42.9%,5.4%,45.5%,-51,-9
2023 Australian Open R128,L vs Gauff,0.0%,-,8.5%,44.4%,11.1%,30.8%,0.0%,6.9%,21.4%,0.0%,-,-56,-42
2022 BJK Cup Finals RR,W vs Gauff,0.0%,-,14.0%,82.4%,7.1%,6.3%,0.0%,16.4%,20.0%,2.6%,50.0%,-11,8
2022 Portoroz F,W vs Rybakina,0.0%,-,5.5%,69.2%,9.0%,15.6%,0.0%,10.2%,32.0%,0.9%,25.0%,-70,-53
2022 Portoroz R16,W vs Burrage,0.0%,-,6.6%,62.5%,11.8%,20.0%,0.0%,17.2%,42.9%,3.1%,71.4%,-43,0
2022 Wimbledon R128,L vs Chwalinska,1.7%,100.0%,19.5%,54.5%,4.5%,9.1%,6.7%,4.9%,7.7%,1.9%,16.7%,-90,-90
2022 Bad Homburg R32,L vs Halep,1.0%,0.0%,8.1%,68.8%,15.7%,20.0%,0.0%,14.6%,30.8%,1.5%,60.0%,51,30
Last 52 Weeks (4 matches),,2.1%,57.1%,11.2%,57.1%,9.0%,12.7%,0.0%,10.8%,18.9%,1.5%,11.1%,-6,-14
Career (56 matches),,0.8%,51.5%,8.8%,63.4%,8.8%,14.7%,9.1%,11.6%,22.4%,1.6%,33.7%,-3,-2
