Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2021 US Open Q3,L vs Karlovic,2.8,3.8,1.8,48.4%,21.1%,57.1%,60.0%,67.5%,7.9%,7.0,9.1,6.5,21.0
2019 Stockholm QF,W vs Tipsarevic,5.1,4.9,5.2,43.8%,61.8%,46.7%,64.1%,52.7%,10.1%,7.0,2.5,10.5,4.6
2019 Wimbledon R128,L vs Nadal,3.8,4.4,3.3,43.3%,37.8%,43.8%,33.3%,50.4%,11.0%,-2.5,-2.0,1.0,0.9
2017 Basel R32,L vs Shapovalov,3.4,3.5,3.2,52.1%,36.1%,35.3%,30.0%,55.0%,7.5%,-5.5,-4.3,1.5,1.5
2017 Canada R64,L vs Goffin,4.3,4.6,4.0,38.8%,55.0%,41.2%,42.9%,54.3%,19.7%,-4.5,-3.0,-4.5,-4.2
2017 Antalya F,W vs Mannarino,3.8,3.9,3.7,51.3%,72.7%,50.0%,60.0%,54.5%,14.9%,5.5,5.5,0.5,0.7
2017 Surbiton CH F,W vs Thompson,4.5,4.6,4.3,52.2%,61.0%,50.0%,18.8%,55.7%,10.9%,10.0,5.6,1.5,1.2
2017 Estoril R32,L vs Del Potro,5.4,6.0,4.7,37.0%,45.0%,50.0%,38.1%,56.7%,14.7%,-2.5,-1.8,-8.0,-8.7
2017 Yokohama CH F,W vs Kwon,4.4,3.9,4.8,55.6%,45.1%,42.9%,50.0%,54.2%,14.7%,4.5,2.4,-1.5,-1.0
2017 Kyoto CH QF,L vs Harris,3.3,3.5,3.0,43.9%,52.4%,37.5%,50.0%,57.8%,15.1%,0.0,0.0,-1.5,-2.5
2016 Washington R32,L vs Coric,4.9,4.4,5.5,48.6%,46.2%,20.0%,52.9%,47.1%,9.0%,-8.0,-5.9,-11.5,-8.2
2016 Seoul CH R32,W vs Kang,4.9,3.6,5.9,69.2%,75.0%,73.3%,33.3%,37.4%,5.4%,6.5,10.0,9.0,8.5
2014 Toyota CH SF,L vs Soeda,3.4,3.4,3.5,47.2%,41.7%,61.5%,30.0%,54.4%,20.4%,-0.5,-0.4,4.0,4.9
Career (13 matches),,4.2,4.2,4.1,48.0%,50.2%,45.5%,45.5%,53.3%,12.3%,1.3,1.0,0.6,0.5
