Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2016 Istanbul R32,L vs Jani,3.7,4.1,3.3,44.1%,41.4%,40.0%,50.0%,50.8%,4.3%,0.0,0.0,-6.0,-6.8
Career (1 matches),,3.7,4.1,3.3,44.1%,41.4%,40.0%,50.0%,50.8%,4.3%,0.0,0.0,-6.0,-6.8
