Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2019 W15 Antalya R32,L vs Roemer,38% (3/8),67% (2/3),2/6,86% (6/7),0% (0/6),0/2,0/0,0/0,0/0,0/0
2019 W15 Antalya R32,L vs Oz,0% (0/8),- (0/0),0/4,71% (5/7),20% (1/5),0/0,0/0,2/2,0/0,1/1
2018 Istanbul R32,L vs Parmentier,50% (4/8),75% (3/4),3/7,100% (8/8),13% (1/8),0/3,0/0,1/1,0/0,1/1
2017 Antalya $15K SF,L vs Anshba,62% (8/13),100% (8/8),5/8,86% (12/14),17% (2/12),3/7,0/0,0/2,0/0,0/1
2017 Antalya $15K QF,W vs Bondar,54% (7/13),100% (7/7),4/6,62% (8/13),25% (2/8),3/6,1/2,0/0,1/1,0/0
2017 Antalya $15K R16,W vs Vaneva,67% (6/9),100% (6/6),1/2,38% (3/8),33% (1/3),4/5,1/1,0/0,0/0,0/0
2017 Shrewsbury $25K R32,L vs Andrei,46% (6/13),100% (6/6),3/6,54% (7/13),0% (0/7),1/5,0/1,0/1,0/0,0/1
2017 Istanbul $25K R32,L vs Golubovskaya,0% (0/9),- (0/0),0/2,33% (3/9),0% (0/3),0/0,0/0,1/2,0/0,1/1
2017 Lagos $25K QF,W vs Strakhova,78% (7/9),57% (4/7),0/1,11% (1/9),0% (0/1),3/4,2/3,0/0,1/1,0/0
2017 Lagos $25K R16,W vs Bechri,71% (5/7),100% (5/5),0/1,13% (1/8),0% (0/1),3/4,1/1,0/0,1/1,0/0
2017 Lagos $25K R32,W vs William,50% (5/10),100% (5/5),2/3,40% (4/10),25% (1/4),5/5,2/2,0/0,1/1,0/0
2017 Lagos $25K SF,L vs Khazaniuk,60% (9/15),67% (6/9),3/6,60% (9/15),22% (2/9),3/5,0/0,0/1,0/0,0/1
2017 Lagos $25K R16,W vs Bechri,78% (7/9),100% (7/7),5/5,70% (7/10),29% (2/7),5/7,2/2,0/0,1/1,0/0
2017 Saint Petersburg $100K R32,L vs Parmentier,50% (5/10),40% (2/5),1/4,67% (6/9),33% (2/6),1/2,0/0,1/1,0/0,1/1
2017 Artvin $60K QF,W vs Raina,69% (9/13),89% (8/9),4/6,54% (7/13),14% (1/7),4/7,1/2,1/1,1/1,0/0
2017 Artvin $60K R16,W vs Wachaczyk,60% (6/10),100% (6/6),4/5,64% (7/11),29% (2/7),4/6,1/2,1/1,1/1,0/0
2017 El Espinar Segovia $25K F,L vs Badosa,11% (1/9),100% (1/1),0/2,44% (4/9),0% (0/4),0/1,0/0,0/2,0/0,0/1
2017 El Espinar Segovia $25K SF,W vs De La Torre Sanchez,50% (6/12),100% (6/6),2/5,50% (6/12),17% (1/6),5/5,1/2,1/1,0/1,0/0
2017 El Espinar Segovia $25K QF,W vs Bassols Ribera,80% (12/15),92% (11/12),7/7,67% (10/15),20% (2/10),6/10,1/3,0/0,0/2,0/0
2017 El Espinar Segovia $25K R16,W vs Bucsa,73% (8/11),63% (5/8),2/3,36% (4/11),25% (1/4),3/5,2/2,1/1,1/1,0/0
2019 (2 matches),,18.8%,66.7%,20.0%,78.6%,9.1%,0.0%,-,100.0%,-,100.0%
2018 (1 matches),,50.0%,75.0%,42.9%,100.0%,12.5%,0.0%,-,100.0%,-,100.0%
2017 (46 matches),,57.6%,84.5%,50.6%,50.9%,22.2%,65.6%,62.5%,57.9%,73.1%,44.4%
2016 (30 matches),,55.0%,82.9%,44.7%,41.0%,27.3%,68.0%,69.7%,78.3%,80.0%,50.0%
2015 (19 matches),,52.9%,82.9%,43.8%,51.0%,27.1%,67.9%,70.8%,40.9%,69.2%,50.0%
Career (102 matches),,54.9%,82.9%,45.6%,48.7%,24.8%,65.7%,65.8%,60.4%,74.1%,50.0%
