Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2026 Dubai R16,L vs Medvedev,0.0%,-,7.3%,75.0%,13.4%,8.7%,50.0%,6.3%,15.8%,0.5%,0.0%,29,-23
2026 Rotterdam R32,W vs Boogaard,0.0%,-,5.8%,71.4%,19.7%,18.8%,0.0%,11.9%,71.4%,0.6%,0.0%,18,45
2026 Australian Open R128,W vs Djere,0.0%,-,6.4%,70.6%,15.9%,23.1%,0.0%,5.0%,5.6%,1.1%,40.0%,-64,-40
2026 United Cup F,L vs Hurkacz,5.9%,100.0%,9.5%,75.0%,7.9%,5.7%,0.0%,11.7%,60.0%,0.4%,0.0%,-56,-39
2025 Aix En Provence CH F,L vs Coric,1.0%,100.0%,8.4%,77.8%,11.5%,16.3%,12.5%,4.0%,17.6%,0.9%,50.0%,-28,-29
2025 Monte Carlo R64,L vs Tabilo,1.9%,50.0%,11.1%,58.3%,16.2%,17.9%,10.7%,14.0%,30.0%,0.5%,0.0%,24,7
2025 Rotterdam R32,L vs Medvedev,14.7%,66.7%,17.5%,55.9%,12.2%,19.4%,20.0%,6.2%,16.1%,0.5%,0.0%,-10,-46
2025 Australian Open R128,L vs Sonego,2.8%,100.0%,8.2%,55.0%,21.3%,18.5%,33.3%,13.8%,57.1%,0.4%,100.0%,-50,-47
2024 Stockholm SF,L vs Paul,7.5%,50.0%,10.9%,46.2%,13.4%,33.3%,100.0%,7.6%,23.1%,0.0%,-,-87,-83
2024 Stockholm QF,W vs Rublev,7.8%,83.3%,6.5%,45.5%,16.7%,20.5%,50.0%,10.8%,46.7%,0.0%,-,-23,-34
2024 Shanghai R128,W vs Mpetshi Perricard,10.3%,100.0%,12.0%,75.0%,30.8%,33.3%,50.0%,21.4%,57.1%,0.0%,-,7,-30
2024 US Open R128,L vs Bellucci,4.3%,50.0%,8.9%,52.9%,8.9%,3.7%,16.7%,11.6%,20.0%,1.6%,0.0%,-6,23
2024 Wimbledon R128,W vs Broom,8.0%,28.6%,12.6%,50.0%,19.8%,22.7%,0.0%,20.4%,33.3%,1.9%,80.0%,84,87
2024 Roland Garros R128,W vs Murray,5.8%,100.0%,15.3%,84.6%,19.1%,30.0%,30.0%,17.6%,42.3%,1.1%,0.0%,48,27
2024 Monte Carlo R64,L vs De Minaur,3.7%,50.0%,7.1%,28.6%,4.1%,14.3%,0.0%,7.5%,20.0%,0.0%,-,-6,-34
2024 Australian Open R128,L vs Mannarino,0.0%,-,2.2%,100.0%,8.6%,11.6%,14.3%,8.7%,8.3%,0.2%,0.0%,-7,-4
2023 Paris R64,L vs Thiem,16.2%,58.3%,15.2%,60.7%,11.8%,13.8%,0.0%,14.0%,37.5%,0.3%,100.0%,-33,-3
2023 US Open R32,L vs Sinner,0.0%,-,7.4%,58.8%,9.9%,11.5%,9.1%,5.2%,26.3%,0.2%,0.0%,-51,-34
2023 Umag F,L vs Popyrin,3.5%,100.0%,12.2%,73.9%,11.3%,23.8%,0.0%,9.1%,16.7%,2.6%,42.9%,-58,-45
2023 Wimbledon R128,W vs Ruusuvuori,0.0%,-,7.0%,53.3%,11.6%,23.5%,25.0%,5.6%,0.0%,0.4%,0.0%,-14,28
Career (181 matches),,2.8%,72.0%,9.6%,68.1%,14.5%,20.5%,15.3%,10.2%,25.5%,0.6%,31.4%,0,7
