Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2026 Dubai R16,L vs Medvedev,25% (2/8),100% (2/2),2/5,78% (7/9),14% (1/7),1/2,0/0,0/1,0/0,0/1
2026 Rotterdam R32,W vs Boogaard,22% (2/9),100% (2/2),0/0,30% (3/10),100% (3/3),2/2,2/2,0/0,1/1,0/0
2026 Australian Open R128,W vs Djere,48% (10/21),30% (3/10),1/2,9% (2/22),0% (0/2),3/3,2/2,2/2,0/0,0/0
2026 United Cup F,L vs Hurkacz,36% (5/14),20% (1/5),0/2,23% (3/13),33% (1/3),1/1,1/1,2/2,0/0,1/1
2025 Aix-en-Provence CH F,L vs Coric,12% (2/17),50% (1/2),0/2,31% (5/16),60% (3/5),1/1,0/0,1/1,0/0,0/0
2025 Monte Carlo R64,L vs Tabilo,53% (8/15),63% (5/8),2/3,50% (8/16),38% (3/8),5/5,1/1,2/4,0/0,1/2
2025 Rotterdam R32,L vs Medvedev,21% (3/14),67% (2/3),1/5,53% (8/15),25% (2/8),2/2,0/0,3/4,0/0,0/1
2025 Australian Open R128,L vs Sonego,26% (6/23),33% (2/6),0/4,22% (5/23),20% (1/5),1/1,0/1,1/1,0/0,0/0
2024 Stockholm SF,L vs Paul,11% (1/9),0% (0/1),0/3,63% (5/8),40% (2/5),0/0,0/0,1/1,0/0,0/0
2024 Stockholm QF,W vs Rublev,17% (2/12),50% (1/2),0/1,25% (3/12),67% (2/3),0/1,0/0,2/2,0/0,0/0
2024 Shanghai R128,W vs Mpetshi Perricard,17% (2/12),0% (0/2),0/0,17% (2/12),100% (2/2),0/0,0/0,2/2,0/0,0/0
2024 US Open R128,L vs Bellucci,13% (2/16),50% (1/2),1/3,33% (5/15),40% (2/5),0/1,0/0,2/2,0/0,1/1
2024 Wimbledon R64,L vs Monfils,12% (2/17),0% (0/2),0/1,24% (4/17),75% (3/4),0/0,0/0,3/3,0/0,0/0
2024 Wimbledon R128,W vs Broom,33% (5/15),100% (5/5),0/2,25% (4/16),50% (2/4),4/5,3/3,2/2,1/1,0/0
2024 Roland Garros R128,W vs Murray,36% (5/14),80% (4/5),0/0,7% (1/14),100% (1/1),4/4,3/3,0/0,1/1,0/0
2024 Monte Carlo R64,L vs De Minaur,43% (3/7),33% (1/3),1/4,75% (6/8),0% (0/6),0/1,0/0,0/2,0/0,0/1
2024 Australian Open R128,L vs Mannarino,22% (5/23),80% (4/5),0/7,35% (8/23),13% (1/8),2/4,2/2,3/3,0/0,0/0
2023 Paris R64,L vs Thiem,40% (6/15),50% (3/6),0/4,27% (4/15),0% (0/4),2/3,1/2,0/0,0/1,0/0
2023 US Open R32,L vs Sinner,28% (5/18),60% (3/5),0/5,41% (7/17),29% (2/7),1/2,0/0,1/1,0/0,0/0
2023 US Open R64,W vs Etcheverry,35% (7/20),71% (5/7),2/2,19% (4/21),50% (2/4),5/5,2/2,2/2,1/1,0/0
2026 (4 matches),,36.5%,42.1%,33.3%,27.8%,33.3%,87.5%,100.0%,80.0%,100.0%,50.0%
2025 (4 matches),,27.5%,52.6%,21.4%,37.1%,34.6%,100.0%,50.0%,70.0%,-,33.3%
2024 (9 matches),,21.6%,59.3%,9.5%,30.4%,39.5%,62.5%,100.0%,88.2%,100.0%,50.0%
2023 (15 matches),,28.3%,74.2%,30.0%,28.1%,34.8%,82.2%,81.0%,87.5%,66.7%,100.0%
2022 (11 matches),,25.0%,62.2%,18.5%,32.4%,38.3%,85.0%,80.0%,85.7%,75.0%,100.0%
Career (485 matches),,32.3%,66.4%,21.1%,26.7%,41.4%,87.8%,87.0%,81.2%,83.5%,73.5%
