Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,1,0,1,0.0%,1-2,33.3%,16-15,51.6%,0-1,0.0%,1,93.3%,13.3%,3.9%,1.9%,53.4%,74.5%,58.3%,67.0%,31.7%,49.3%,0.96,R32 (Naples)
2025,30,20,10,66.7%,43-19,69.4%,332-268,55.3%,4-3,57.1%,29,84.9%,25.2%,8.7%,2.4%,56.9%,75.9%,52.9%,66.0%,38.9%,52.4%,1.14,F (2x)
2024,5,2,3,40.0%,6-6,50.0%,58-61,48.7%,1-0,100.0%,5,78.0%,18.6%,6.4%,2.6%,61.0%,66.1%,52.3%,60.7%,34.6%,48.4%,0.88,R16 (2x)
2023,3,2,1,66.7%,4-2,66.7%,30-20,60.0%,0-0,-,3,84.0%,36.0%,5.3%,2.9%,60.8%,71.2%,53.7%,64.3%,44.9%,54.4%,1.26,QF (Bordeaux)
2022,1,0,1,0.0%,0-2,0.0%,6-12,33.3%,0-0,-,1,44.4%,22.2%,4.5%,3.0%,56.7%,60.5%,34.5%,49.3%,39.4%,44.4%,0.78,R32 (Marbella)
2020,8,7,1,87.5%,14-4,77.8%,100-63,61.3%,1-0,100.0%,7,90.2%,31.3%,6.9%,4.6%,54.7%,76.2%,58.2%,68.1%,43.3%,55.3%,1.36,W (Prague)
2010,5,5,0,100.0%,10-2,83.3%,71-41,63.4%,1-1,50.0%,5,91.1%,35.2%,11.0%,3.2%,55.5%,78.0%,56.9%,68.6%,42.1%,55.4%,1.34,W (Lugano)
2009,5,5,0,100.0%,10-1,90.9%,67-49,57.8%,2-0,100.0%,0,,,,,,,,,,,,W (Lugano)
2005,14,10,4,71.4%,21-14,60.0%,172-165,51.0%,6-1,85.7%,0,,,,,,,,,,,,F (Andrezieux)
2004,32,21,11,65.6%,48-36,57.1%,436-387,53.0%,6-5,54.5%,0,,,,,,,,,,,,W (2x)
2003,16,13,3,81.3%,26-10,72.2%,195-144,57.5%,1-0,100.0%,0,,,,,,,,,,,,W (2x)
Career,120,85,35,70.8%,183-98,65.1%,1483-1225,54.8%,22-11,66.7%,51,85.1%,26.5%,8.0%,2.9%,57.0%,74.4%,53.9%,65.6%,39.6%,52.6%,1.15,
