Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,22,Hard,68,47,21,69.1%,41,29,12,70.7%,2004,2026,W,63,1.10,10.3%,2.7%,58.1%,75.0%,53.8%,66.1%,37.2%,63.1%,39.9%
Roland Garros,21,Clay,69,49,20,71.0%,46,22,24,47.8%,2004,2025,W,65,1.12,7.2%,2.8%,58.6%,72.4%,55.6%,65.4%,38.9%,66.1%,38.9%
Wimbledon,18,Grass,41,23,18,56.1%,29,15,14,51.7%,2005,2024,QF,41,1.07,10.6%,3.3%,58.3%,76.7%,54.9%,67.6%,34.6%,65.5%,35.7%
US Open,18,Hard,65,48,17,73.8%,58,31,27,53.4%,2004,2024,W,62,1.12,9.8%,3.6%,54.6%,76.5%,53.2%,65.9%,38.2%,64.8%,41.2%
Olympics,3,,5,2,3,40.0%,0,0,0,-,2008,2024,R32,5,1.03,7.6%,3.1%,56.4%,72.6%,55.9%,65.3%,35.7%,54.2%,47.4%
Davis Cup,13,,39,24,15,61.5%,25,12,13,48.0%,2004,2023,,3,0.85,13.7%,1.6%,59.9%,68.8%,43.8%,58.8%,35.1%,52.9%,38.5%
Dubai,5,Hard,10,6,4,60.0%,3,1,2,33.3%,2006,2026,W,10,1.02,8.2%,4.8%,54.2%,71.2%,51.9%,62.4%,38.5%,55.4%,54.5%
Rotterdam,8,Hard,20,13,7,65.0%,10,9,1,90.0%,2005,2026,W,20,1.03,8.3%,2.5%,56.4%,76.9%,51.2%,65.7%,35.3%,60.4%,40.0%
Montpellier,2,Hard,3,1,2,33.3%,2,1,1,50.0%,2025,2026,R16,3,0.80,8.1%,4.1%,49.8%,75.5%,50.5%,62.9%,29.6%,73.9%,25.0%
United Cup,2,Hard,7,2,5,28.6%,7,5,2,71.4%,2023,2026,F,7,0.92,10.3%,2.0%,56.5%,77.6%,58.4%,69.3%,28.4%,60.7%,13.8%
Basel,18,Hard,35,17,18,48.6%,25,7,18,28.0%,2003,2025,SF,34,1.07,11.3%,2.4%,58.4%,76.9%,55.7%,68.1%,34.2%,60.2%,35.3%
Shanghai Masters,12,Hard,25,13,12,52.0%,18,11,7,61.1%,2009,2025,QF,25,1.01,9.6%,3.0%,56.2%,75.0%,53.0%,65.4%,34.9%,62.5%,32.9%
