Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),98,633,101,1699,88,1674,100,1635,,,,,,
2025,157,397,97,1708,86,1684,97,1649,,,,,,
2024,161,371,79,1743,68,1714,72,1685,70,1622,,,,
2023,49,942,43,1807,41,1760,36,1745,50,1654,,,,
2022,148,377,57,1778,52,1743,56,1719,69,1620,,,,
2021,82,822,,,,,,,,,,,,
2020,18,2320,12,1933,12,1898,8,1891,,,,,,
2019,16,2000,14,1923,13,1888,9,1892,27,1730,290,180,,
2018,66,785,25,1877,24,1846,19,1862,36,1701,,,,
2017,9,3150,7,2061,7,2018,4,2053,13,1854,547,90,,
2016,4,5315,6,2075,6,2021,5,2063,9,1881,576,90,,
2015,4,6865,6,2129,6,2066,5,2092,6,1935,183,405,,
2014,4,5370,9,2043,10,1974,7,2030,11,1879,96,745,66,1665
2013,8,3730,8,2068,8,2002,7,2049,16,1808,175,405,96,1586
2012,17,1900,10,1991,10,1943,11,1956,37,1728,201,325,87,1606
2011,17,1820,18,1931,17,1900,14,1914,39,1708,101,780,79,1628
2010,21,1755,11,1983,12,1910,7,1969,31,1730,384,145,,
2009,21,1635,21,1928,26,1851,17,1895,38,1717,100,700,63,1651
2008,13,1510,24,1894,30,1821,19,1862,58,1649,234,255,98,1581
2007,36,820,30,1881,21,1845,29,1816,72,1595,438,110,117,1501
2006,30,950,18,1915,28,1809,17,1865,55,1641,90,600,93,1554
2005,54,675,74,1758,99,1628,36,1787,112,1535,831,27,,
2004,168,262,181,1565,238,1420,130,1586,,,298,150,,
2003,171,216,169,1576,276,1378,113,1608,,,557,62,,
2002,660,21,,,,,,,,,1458,2,,
2001,1044,5,,,,,,,,,727,36,,
