Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
1993,245,,134,1680,,,122,1663,,,801,19,,
1992,120,,90,1771,86,1715,63,1755,,,452,55,,
1991,46,,61,1822,59,1758,31,1846,55,1686,354,90,,
1990,36,,37,1869,35,1807,18,1886,55,1681,159,300,,
1989,11,,8,2042,12,1936,7,2008,22,1781,90,,,
1988,54,,41,1852,42,1788,23,1852,,,313,,,
1987,14,,15,1993,42,1774,12,2007,23,1787,314,,,
1986,17,,18,1969,54,1728,10,1973,34,1747,566,,,
1985,20,,25,1903,46,1761,15,1937,,,171,,,
1984,56,,57,1808,,,38,1796,,,100,,,
