Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,8,Hard,13,5,8,38.5%,6,2,4,33.3%,2012,2019,R64,8,0.85,8.8%,6.4%,64.4%,70.9%,44.3%,61.4%,32.8%,62.3%,27.5%
Roland Garros,8,Clay,13,5,8,38.5%,5,1,4,20.0%,2011,2018,R64,8,0.81,6.4%,5.7%,66.6%,65.8%,46.7%,59.4%,33.0%,63.6%,18.2%
Wimbledon,8,Grass,23,15,8,65.2%,17,11,6,64.7%,2011,2018,R16,9,0.91,15.1%,4.9%,67.6%,75.2%,48.5%,66.6%,30.4%,64.7%,34.7%
US Open,5,Hard,6,1,5,16.7%,5,2,3,40.0%,2011,2018,R128,5,0.84,7.1%,7.1%,61.0%,69.1%,50.3%,61.8%,32.3%,61.7%,41.4%
Eastbourne,2,Grass,5,3,2,60.0%,1,0,1,0.0%,2013,2019,R32,5,1.29,10.5%,4.7%,65.1%,77.1%,59.2%,70.8%,37.7%,80.0%,51.9%
Montpellier,8,Hard,21,12,9,57.1%,15,11,4,73.3%,2012,2019,QF,21,1.10,11.3%,3.7%,70.5%,76.1%,52.7%,69.1%,33.9%,65.3%,35.5%
Antwerp,3,Hard,7,4,3,57.1%,3,0,3,0.0%,2016,2018,R16,7,1.19,9.3%,4.0%,73.4%,75.2%,47.6%,67.9%,38.1%,71.0%,36.4%
Metz,8,Hard,22,13,9,59.1%,12,4,8,33.3%,2011,2018,QF,20,1.08,13.5%,4.7%,69.4%,74.2%,51.5%,67.3%,35.4%,67.0%,39.8%
Gstaad,4,Clay,7,3,4,42.9%,3,3,0,100.0%,2013,2018,R16,4,0.84,9.1%,7.9%,59.5%,74.3%,52.0%,65.3%,29.1%,57.9%,20.0%
Umag,2,Clay,6,4,2,66.7%,3,3,0,100.0%,2017,2018,R16,6,1.02,1.9%,3.0%,72.7%,63.6%,43.8%,58.2%,42.7%,56.6%,39.0%
