Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,41,12,29,29.3%,34-67,33.7%,491-573,46.1%,11-18,37.9%,41,83.0%,9.7%,10.1%,5.2%,66.6%,72.0%,50.6%,64.9%,30.5%,48.0%,0.87
Clay,26,6,20,23.1%,16-45,26.2%,241-332,42.1%,2-4,33.3%,26,72.6%,12.2%,6.4%,6.0%,66.6%,67.3%,42.6%,59.1%,33.2%,46.6%,0.81
Grass,21,9,12,42.9%,24-32,42.9%,279-303,47.9%,7-7,50.0%,20,86.5%,9.8%,14.4%,4.7%,67.4%,75.2%,51.3%,67.4%,29.0%,48.7%,0.89
Grand Slams,20,7,13,35.0%,21-41,33.9%,270-344,44.0%,7-6,53.8%,19,79.0%,9.5%,11.6%,6.3%,65.9%,71.7%,45.5%,62.7%,30.2%,46.9%,0.81
Masters,2,0,2,0.0%,0-4,0.0%,20-26,43.5%,0-2,0.0%,2,90.9%,0.0%,17.4%,6.3%,62.5%,77.8%,48.1%,66.7%,29.1%,47.5%,0.87
Other Tours,66,20,46,30.3%,53-99,34.9%,721-838,46.2%,13-21,38.2%,66,81.8%,11.0%,9.4%,4.9%,67.3%,71.3%,49.8%,64.3%,31.2%,48.2%,0.87
Best of 5,20,7,13,35.0%,21-41,33.9%,270-344,44.0%,7-6,53.8%,19,79.0%,9.5%,11.6%,6.3%,65.9%,71.7%,45.5%,62.7%,30.2%,46.9%,0.81
Best of 3,68,20,48,29.4%,53-103,34.0%,741-864,46.2%,13-23,36.1%,68,82.0%,10.7%,9.6%,4.9%,67.2%,71.5%,49.8%,64.4%,31.1%,48.1%,0.87
Quarter-finals,3,0,3,0.0%,1-6,14.3%,30-43,41.1%,0-1,0.0%,3,69.4%,13.9%,9.6%,4.4%,70.5%,65.0%,44.6%,59.0%,30.7%,46.0%,0.75
vs Righties,74,24,50,32.4%,63-117,35.0%,836-986,45.9%,15-23,39.5%,73,81.6%,10.7%,10.4%,5.5%,66.4%,72.0%,48.5%,64.1%,31.2%,48.0%,0.87
vs Lefties,14,3,11,21.4%,11-27,28.9%,175-222,44.1%,5-6,45.5%,14,79.3%,8.8%,9.2%,4.4%,68.7%,69.5%,49.0%,63.1%,29.4%,47.1%,0.80
vs Top 10,3,1,2,33.3%,2-6,25.0%,34-48,41.5%,1-1,50.0%,3,80.0%,2.5%,10.2%,6.5%,68.3%,72.6%,43.6%,63.4%,23.9%,44.7%,0.65
