Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2017 Montpellier R32,W vs Zverev,40.7%,50.8%,54.8%,48.0%,46.2%,59.0%,47.6%,57.2%,29.4%,50.0%,33.3%,37.5%,43.8%,70.0%,212
2014 Wimbledon R128,L vs Nishikori,46.2%,59.3%,58.5%,54.3%,54.1%,70.5%,60.7%,66.2%,37.0%,52.9%,0.0%,40.9%,50.0%,53.8%,212
Career (2 matches),,44.0%,56.0%,56.9%,51.8%,51.0%,66.0%,55.1%,62.7%,34.1%,51.8%,20.0%,39.5%,47.4%,60.9%,212
