Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2019 Aix En Provence CH R64,L vs Masur,67% (10/15),67% (2/3),1/2,0/0,33% (2/6),2/4,2/3,- (0/0),- (0/0)
2019 Bordeaux CH R64,L vs Martineau,64% (7/11),0% (0/5),0/0,0/0,0% (0/2),0/2,0/1,- (0/0),- (0/0)
2019 Sophia Antipolis CH R64,L vs Donati,50% (2/4),- (0/0),0/0,0/0,29% (2/7),0/2,0/1,- (0/0),- (0/0)
2019 St. Brieuc CH R64,L vs Sels,78% (7/9),17% (1/6),0/0,0/0,0% (0/3),2/4,0/1,- (0/0),- (0/0)
2019 Lille CH R64,L vs Pavlasek,91% (10/11),75% (3/4),1/1,0/0,40% (2/5),1/3,0/1,43% (3/7),43% (3/7)
2019 Montpellier Q1,L vs Halys,75% (9/12),25% (1/4),1/1,0/0,50% (4/8),2/4,0/1,- (0/0),- (0/0)
2019 Koblenz CH R16,L vs Taberner,62% (8/13),0% (0/2),0/0,0/0,50% (2/4),0/2,0/1,50% (3/6),33% (2/6)
2019 Koblenz CH R32,W vs Hernandez,70% (7/10),56% (5/9),2/3,1/1,0% (0/1),0/0,0/0,- (0/0),- (0/0)
2019 Noumea CH R32,L vs Sakharov,60% (9/15),33% (1/3),0/3,0/0,71% (5/7),7/9,2/3,64% (7/11),27% (3/11)
2018 Mouilleron-Le-Captif CH R32,L vs Paire,56% (9/16),50% (1/2),0/2,0/0,80% (8/10),2/4,1/2,50% (4/8),38% (3/8)
2018 Antwerp Q1,L vs Stakhovsky,56% (9/16),33% (1/3),0/2,0/0,60% (3/5),1/3,0/1,63% (5/8),25% (2/8)
2018 Barcelona CH R16,L vs Giannessi,67% (2/3),60% (3/5),0/0,0/0,45% (5/11),0/2,0/1,- (0/0),- (0/0)
2018 Barcelona CH R32,W vs Martin,46% (6/13),75% (6/8),2/2,1/1,64% (7/11),6/6,0/0,57% (4/7),57% (4/7)
2018 Orleans CH SF,L vs Bedene,78% (7/9),0% (0/3),0/1,0/0,33% (1/3),1/3,1/2,71% (5/7),14% (1/7)
2018 Orleans CH R32,W vs Maden,55% (6/11),46% (6/13),2/2,1/1,0% (0/2),0/0,0/0,- (0/0),- (0/0)
2018 Metz R32,L vs Basilashvili,80% (8/10),- (0/0),0/0,0/0,50% (2/4),0/2,0/1,0% (0/4),0% (0/3)
2018 Metz Q1,W vs Brown,54% (7/13),83% (5/6),2/3,1/1,75% (9/12),0/0,0/0,- (0/0),- (0/0)
2018 Szczecin CH R32,L vs Bolelli,58% (11/19),50% (2/4),1/2,0/0,67% (8/12),0/2,0/1,- (0/0),- (0/0)
2018 Mallorca CH SF,L vs Tomic,70% (7/10),0% (0/6),0/0,0/0,67% (4/6),4/6,2/3,- (0/0),- (0/0)
2018 Mallorca CH QF,W vs Brands,73% (8/11),80% (4/5),2/2,1/1,100% (2/2),0/0,0/0,- (0/0),- (0/0)
2019 (9 matches),,69.0%,36.1%,50.0%,100.0%,39.5%,46.7%,33.3%,54.2%,33.3%
2018 (27 matches),,68.9%,46.5%,58.7%,75.0%,61.3%,42.1%,28.6%,55.0%,28.2%
2017 (32 matches),,67.9%,36.3%,65.1%,54.5%,60.7%,48.2%,50.0%,70.5%,33.3%
2016 (30 matches),,64.0%,35.3%,56.5%,56.5%,60.6%,43.6%,41.4%,51.6%,41.3%
2015 (13 matches),,65.4%,38.1%,56.3%,61.5%,55.6%,57.5%,66.7%,67.2%,40.7%
Career (203 matches),,67.2%,36.7%,57.5%,63.6%,61.2%,43.5%,45.0%,58.3%,32.3%
